season,week,posteam,plays,pass_rate,xpass_rate,proe
2020,8,GB,65,0.6461538461538463,0.7161845702391404,-7.003072408529409
2020,8,IND,72,0.4722222222222226,0.5187882120824523,-4.65659898602297
2020,8,KC,67,0.7014925373134329,0.54508555146740445,15.640698584602841
2020,8,LA,89,0.674157303370786,0.731618118420076,-5.74608150492899
2020,8,LAC,82,0.5609756097560975,0.6019089151082969,-4.093330535219941
2020,8,LV,67,0.4029850746268656,0.5078197809269844,-10.483470630011881
2020,8,MIA,46,0.5,0.4677839016784792,3.221609832152078
2020,8,MIN,48,0.2916666666666667,0.468110166490078,-17.64434998234113
2020,8,NE,60,0.4500000000000003,0.6880450117091338,-23.80450117091335
2020,8,NO,70,0.6000000000000001,0.6520959023918426,-5.209590239184248
2020,8,NYG,66,0.6666666666666669,0.6308032242637692,3.5863442402897627
2020,8,NYJ,54,0.6111111111111114,0.6321120217994407,-2.100091068832932
2020,8,PHI,55,0.5636363636363634,0.5616699183529075,0.19664452834559087
2020,8,PIT,48,0.6666666666666666,0.528492446212719,13.817422045394768
2020,8,SEA,62,0.6129032258064514,0.48758643132544344,12.531679448100796
2020,8,SF,63,0.6825396825396827,0.6888633744111137,-0.6323691871431003
2020,8,TB,64,0.640625,0.6148514277301729,2.5773572269827127
2020,8,TEN,60,0.5499999999999998,0.6665669692059357,-11.656696920593589
2020,9,ARI,63,0.49206349206349204,0.6138395913063535,-12.177609924286143
2020,9,ATL,65,0.553846153846154,0.5359547267453029,1.789142710085112
2020,9,BAL,61,0.44262295081967223,0.48423346266394746,-4.161051184427523
2020,9,BUF,54,0.7592592592592591,0.49164845635769544,26.761080290156364
2020,9,CAR,73,0.684931506849315,0.7095182509454963,-2.4586744096181223
2020,9,CHI,72,0.7361111111111114,0.7263665052337779,0.9744605877333501
2020,9,DAL,68,0.5735294117647056,0.6206621716127676,-4.713275984806198
2020,9,DEN,70,0.7714285714285712,0.7936910326991763,-2.226246127060505
2020,9,DET,71,0.6338028169014087,0.6540108749144513,-2.0208058013042596
2020,9,GB,61,0.524590163934426,0.5438310043489347,-1.9240840414508686
2020,9,HOU,57,0.6666666666666667,0.5691834886868794,9.748317797978734
2020,9,IND,63,0.6666666666666669,0.7281284857363928,-6.146181906972592
2020,9,JAX,66,0.6060606060606063,0.6589004370299254,-5.283983096931911
2020,9,KC,55,0.8181818181818181,0.5909295136278325,22.72523045539856
2020,9,LAC,73,0.602739726027397,0.6861227873253496,-8.338306129795258
2020,9,LV,49,0.5102040816326532,0.563996155347143,-5.379207371448979
2020,9,MIA,50,0.6000000000000002,0.5482706509530544,5.172934904694582
2020,9,MIN,54,0.37037037037037046,0.5048566777948982,-13.448630742452771
2020,9,NE,74,0.4729729729729728,0.6600280379926836,-18.70550650197108
2020,9,NO,67,0.5373134328358207,0.44563226696493036,9.168116587089031
2020,9,NYG,66,0.5151515151515148,0.5394664801882975,-2.4314965036782654
2020,9,NYJ,43,0.5813953488372094,0.567039481082628,1.435586775458142
2020,9,PIT,64,0.734375,0.626360944355838,10.8014055644162
2020,9,SEA,58,0.7241379310344829,0.6765838666208859,4.7554064413597
2020,9,SF,52,0.6730769230769229,0.7055103139808545,-3.2433390903931603
2020,9,TB,42,0.9047619047619049,0.7199463528536615,18.481555190824338
2020,9,TEN,50,0.44000000000000017,0.5501478690654038,-11.014786906540364
2020,9,WAS,48,0.8125,0.6816004194940131,13.089958050598693
2020,10,ARI,68,0.5294117647058824,0.6291508841163973,-9.973911941051494
2020,10,BAL,62,0.6129032258064514,0.6737032325998429,-6.080000679339149
2020,10,BUF,68,0.75,0.6585998513242778,9.140014867572221
2020,10,CAR,45,0.7111111111111111,0.6423339035775927,6.877720753351846
2020,10,CHI,47,0.6595744680851067,0.6817596529392487,-2.2185184854142004
2020,10,CIN,60,0.6499999999999998,0.7178997362653414,-6.789973626534163
2020,10,CLE,59,0.35593220338983056,0.5617916721661211,-20.58594687762906
2020,10,DEN,67,0.716417910447761,0.7204299949443161,-0.40120844965551017
2020,10,DET,54,0.6111111111111114,0.6195037685058735,-0.8392657394762137
2020,10,GB,57,0.6140350877192985,0.6225383140538867,-0.8503226334588221
2020,10,HOU,51,0.6274509803921572,0.6191998074452083,0.8251172946948881
2020,10,IND,67,0.5671641791044778,0.522862612200317,4.4301566904160765
2020,10,JAX,58,0.6034482758620686,0.6601671180848417,-5.6718842222773125
2020,10,LA,64,0.609375,0.5499161104671657,5.945888953283429
2020,10,LAC,60,0.5666666666666669,0.6305999092757701,-6.393324260910327
2020,10,LV,64,0.421875,0.5518970980192535,-13.002209801925346
2020,10,MIA,55,0.4909090909090911,0.5254153205589815,-3.4506229649890474
2020,10,MIN,69,0.5362318840579711,0.5656750180043172,-2.9443133946346123
2020,10,NE,55,0.32727272727272705,0.5173310699788006,-19.00583427060736
2020,10,NO,49,0.4897959183673468,0.5228477480764291,-3.305182970908227
2020,10,NYG,62,0.48387096774193517,0.5185462202456209,-3.467525250368575
2020,10,PHI,62,0.6290322580645162,0.6253057256821664,0.37265323823498786
2020,10,PIT,67,0.7014925373134329,0.5990341622660409,10.245837504739196
2020,10,SEA,59,0.745762711864407,0.7254893557500031,2.027335611440395
2020,10,SF,64,0.625,0.6851882627233863,-6.018826272338629
2020,10,TB,73,0.5479452054794519,0.5462068956702538,0.17383098091980909
2020,10,TEN,59,0.49152542372881386,0.6317189131247796,-14.01934893959657
2020,10,WAS,80,0.7000000000000003,0.6996613783761859,0.033862162381437244
2020,11,ARI,60,0.7333333333333335,0.6573129902283351,7.602034310499839
2020,11,ATL,51,0.7254901960784315,0.727195088185516,-0.17048921070845768
2020,11,BAL,63,0.5238095238095238,0.6719856976516663,-14.817617384214243
2020,11,CAR,66,0.5303030303030299,0.5234204268816744,0.6882603421355493
2020,11,CIN,62,0.7419354838709675,0.6379855984160977,10.394988545486983
2020,11,CLE,60,0.3500000000000002,0.49936582772061233,-14.936582772061213
2020,11,DAL,62,0.5322580645161294,0.6126731254400746,-8.041506092394513
2020,11,DEN,63,0.49206349206349204,0.5382006959546178,-4.61372038911258
2020,11,DET,49,0.6938775510204079,0.7157938875714127,-2.191633655100478
2020,11,GB,54,0.7037037037037034,0.5944817938186504,10.922190988505298
2020,11,HOU,56,0.7678571428571429,0.600281717787896,16.757542506924693
2020,11,IND,72,0.5,0.6103226778407891,-11.032267784078908
2020,11,JAX,54,0.6851851851851852,0.6459465722242992,3.9238612960886043
2020,11,KC,71,0.6760563380281694,0.6223506736503521,5.370566437781732
2020,11,LA,70,0.7142857142857145,0.5777094928281649,13.657622145754967
2020,11,LAC,75,0.6800000000000002,0.57537667589883,10.462332410117014
2020,11,LV,56,0.5892857142857145,0.6098907848021814,-2.0605070516466872
2020,11,MIA,55,0.7090909090909092,0.6793489976362749,2.974191145463434
2020,11,MIN,59,0.5254237288135595,0.6139348245273202,-8.851109571376071
2020,11,NE,63,0.6349206349206352,0.6985045337960833,-6.3583898875448135
2020,11,NO,59,0.457627118644068,0.49089556244217747,-3.326844379810945
2020,11,NYJ,54,0.5740740740740738,0.7187085424860318,-14.463446841195793
2020,11,PHI,60,0.5833333333333331,0.6699843175709248,-8.665098423759165
2020,11,PIT,70,0.6571428571428574,0.5931834009076867,6.395945623517063
2020,11,SEA,58,0.6034482758620686,0.594660293439339,0.8787982422729601
2020,11,TB,66,0.7272727272727274,0.6512068929997358,7.606583427299163
2020,11,TEN,66,0.5151515151515148,0.617386129995187,-10.223461484367224
2020,11,WAS,56,0.4464285714285716,0.5522668128833175,-10.583824145474585
2020,12,ARI,68,0.5441176470588232,0.5961523904081654,-5.203474334934222
2020,12,ATL,68,0.5882352941176472,0.6019564593101249,-1.372116519247768
2020,12,BAL,46,0.4130434782608698,0.7152963552785956,-30.22528770177258
2020,12,BUF,54,0.48148148148148173,0.5293819923643712,-4.7900510882889495
2020,12,CAR,63,0.5873015873015875,0.5817034611153225,0.5598126186265096
2020,12,CHI,63,0.7619047619047616,0.7174504214809054,4.445434042385621
2020,12,CIN,43,0.7209302325581397,0.6591507896434429,6.177944291469684
2020,12,CLE,59,0.5084745762711861,0.49364798705456614,1.4826589216619945
2020,12,DAL,53,0.6981132075471698,0.6619917734895113,3.612143405765844
2020,12,DEN,42,0.23809523809523805,0.6979636322884333,-45.98683941931952
2020,12,DET,73,0.6164383561643834,0.672065258842625,-5.562690267824166
2020,12,GB,66,0.4696969696969701,0.5225961140046518,-5.2899144307681665
2020,12,HOU,45,0.6444444444444445,0.5188491619295543,12.559528251489017
2020,12,IND,66,0.6969696969696968,0.7119708433747292,-1.5001146405032362
2020,12,JAX,61,0.6065573770491807,0.6735234380256935,-6.696606097651281
2020,12,KC,69,0.7536231884057973,0.5407660977132078,21.28570906925895
2020,12,LA,58,0.6034482758620686,0.6310263435388432,-2.757806767677462
2020,12,LAC,77,0.688311688311688,0.6674838164797077,2.0827871831980316
2020,12,LV,53,0.7547169811320756,0.7200993960196117,3.4617585112463933
2020,12,MIA,62,0.6290322580645162,0.5407577858817192,8.827447218279705
2020,12,MIN,68,0.6911764705882351,0.7188419294269646,-2.7665458838729506
2020,12,NE,47,0.3617021276595744,0.5823865161931261,-22.068438853355172
2020,12,NO,60,0.2999999999999998,0.5566460157434147,-25.664601574341482
2020,12,NYG,78,0.5512820512820514,0.6051690332018411,-5.388698191978969
2020,12,NYJ,50,0.58,0.7141838747262954,-13.418387472629545
2020,12,PHI,60,0.8,0.7342399592200916,6.576004077990849
2020,12,PIT,70,0.7285714285714289,0.5141176443014827,21.445378426994623
2020,12,SEA,59,0.5593220338983053,0.5307009872364796,2.8621046661825633
2020,12,SF,68,0.5147058823529407,0.6472558146890472,-13.254993233610657
2020,12,TB,53,0.7735849056603773,0.6571308548720378,11.645405078833948
2020,12,TEN,64,0.34375,0.5114680589176714,-16.771805891767144
2020,12,WAS,61,0.45901639344262324,0.4735066253142278,-1.4490231871604586
2020,13,ARI,59,0.661016949152542,0.7242353179697263,-6.321836881718424
2020,13,ATL,60,0.6499999999999998,0.7299429441491763,-7.994294414917647
2020,13,BAL,54,0.40740740740740744,0.5411582666414756,-13.375085923406814
2020,13,BUF,66,0.6363636363636361,0.4650041039920214,17.135953237161473
2020,13,CHI,65,0.5384615384615385,0.6035574752550859,-6.50959367935473
2020,13,CIN,44,0.6363636363636362,0.6571670916270126,-2.0803455263376347
2020,13,CLE,69,0.5217391304347825,0.48114870488643646,4.059042554834602
2020,13,DAL,76,0.6315789473684209,0.692106034802763,-6.052708743434209
2020,13,DEN,62,0.48387096774193517,0.6289741370466448,-14.510316930470967
2020,13,DET,63,0.6666666666666669,0.6877899910249408,-2.112332435827391
2020,13,GB,56,0.607142857142857,0.5049687629299505,10.217409421290647
2020,13,HOU,57,0.7543859649122806,0.7367194033505623,1.7666561561718308
2020,13,IND,61,0.5737704918032787,0.553766372751017,2.0004119052261626
2020,13,JAX,67,0.6716417910447763,0.6489829085211256,2.265888252365067
2020,13,KC,61,0.7049180327868851,0.565427169692321,13.949086309456415
2020,13,LA,76,0.6184210526315791,0.5277611376766703,9.065991495490877
2020,13,LAC,67,0.7761194029850749,0.7437872219441541,3.2332181040920727
2020,13,LV,71,0.6760563380281694,0.675492878740942,0.05634592872274524
2020,13,MIA,65,0.6000000000000002,0.5365963450704628,6.340365492953737
2020,13,MIN,81,0.5432098765432098,0.6029153869107917,-5.970551036758187
2020,13,NE,63,0.3968253968253966,0.5115703530018291,-11.47449561764325
2020,13,NO,73,0.5616438356164386,0.571215974345599,-0.9572138729160407
2020,13,NYG,53,0.45283018867924535,0.5587140259877692,-10.588383730852385
2020,13,NYJ,58,0.4482758620689653,0.560336068465278,-11.206020639631264
2020,13,PHI,52,0.653846153846154,0.7117084107146813,-5.786225686852731
2020,13,PIT,67,0.791044776119403,0.5991239547729492,19.192082134645382
2020,13,SEA,65,0.7538461538461535,0.7000556439161301,5.379050993002343
2020,13,SF,60,0.6499999999999998,0.6964836329221725,-4.648363292217272
2020,13,TEN,65,0.6923076923076925,0.733374111698224,-4.106641939053146
2020,13,WAS,67,0.6865671641791047,0.6182590543445365,6.830810983456814
2020,14,ARI,75,0.5733333333333329,0.5408141755561036,3.2519157777229357
2020,14,ATL,53,0.641509433962264,0.5733158759913355,6.819355797092852
