season,posteam,run_location,run_gap,carries,yoe_per_carry,stuff_rate
2020,TEN,right,end,79,1.1350224931028825,0.1518987341772152
2020,TEN,right,guard,36,2.0648083918624467,0.1111111111111111
2020,TEN,right,tackle,65,1.5117307901382446,0.16923076923076924
2020,WAS,left,end,44,-0.9700241522355515,0.1590909090909091
2020,WAS,left,guard,42,0.299982188712983,0.047619047619047616
2020,WAS,left,tackle,41,-0.47938663421607547,0.14634146341463414
2020,WAS,middle,guard,94,0.13569311861028066,0.20212765957446807
2020,WAS,right,end,54,0.10869028391661446,0.2222222222222222
2020,WAS,right,guard,42,-0.6388466755549115,0.11904761904761904
2020,WAS,right,tackle,49,-0.49287208184903986,0.14285714285714285
2021,ARI,left,end,33,-1.0275628250656703,0.15151515151515152
2021,ARI,left,guard,35,0.6520982265472415,0.14285714285714285
2021,ARI,left,tackle,31,-0.4418601037994506,0.16129032258064516
2021,ARI,middle,guard,196,0.1542372963562311,0.14285714285714285
2021,ARI,right,end,26,-1.7433741023907292,0.46153846153846156
2021,ARI,right,guard,24,-0.9582228759924571,0.16666666666666666
2021,ARI,right,tackle,32,0.5848594009876251,0.09375
2021,ATL,left,end,61,-0.7602722371210816,0.2459016393442623
2021,ATL,left,guard,39,-0.7223504193318195,0.15384615384615385
2021,ATL,left,tackle,59,-1.286157721180027,0.2542372881355932
2021,ATL,middle,guard,47,0.13055798030914112,0.19148936170212766
2021,ATL,right,end,41,0.576426343946922,0.04878048780487805
2021,ATL,right,guard,38,0.22693599054687896,0.21052631578947367
2021,ATL,right,tackle,62,-0.3649644563275,0.12903225806451613
2021,BAL,left,end,27,0.11887899151554836,0.25925925925925924
2021,BAL,left,guard,58,-0.029644774465725002,0.1206896551724138
2021,BAL,left,tackle,25,-1.2286083555221556,0.08
2021,BAL,middle,guard,37,1.151874046067933,0.13513513513513514
2021,BAL,right,end,33,-0.01388669194597278,0.24242424242424243
2021,BAL,right,guard,91,-0.04771934269548816,0.13186813186813187
2021,BAL,right,tackle,52,-1.6639930055691647,0.23076923076923078
2021,BUF,left,end,55,-0.7521738908507607,0.18181818181818182
2021,BUF,left,guard,49,0.06587479309159903,0.10204081632653061
2021,BUF,left,tackle,51,0.06586548393847903,0.1568627450980392
2021,BUF,middle,guard,74,-0.06575927218875278,0.14864864864864866
2021,BUF,right,end,35,-0.5233580112457275,0.2
2021,BUF,right,guard,39,0.7480490024273203,0.1282051282051282
2021,BUF,right,tackle,37,-0.44248197368673453,0.1891891891891892
2021,CAR,left,end,35,-0.6899995871952606,0.2571428571428571
2021,CAR,left,guard,34,-1.2227378452525417,0.2647058823529412
2021,CAR,left,tackle,57,-0.1812657844602017,0.15789473684210525
2021,CAR,middle,guard,73,-0.22295510891365708,0.2054794520547945
2021,CAR,right,end,34,-0.724157726063448,0.29411764705882354
2021,CAR,right,guard,46,-1.236983387366585,0.15217391304347827
2021,CAR,right,tackle,58,0.26335691994634197,0.1896551724137931
2021,CHI,left,end,30,1.2397427797317502,0.2
2021,CHI,left,guard,70,-0.3847870554242815,0.12857142857142856
2021,CHI,left,tackle,60,-0.3268700212240219,0.16666666666666666
2021,CHI,middle,guard,66,0.0973669489224747,0.24242424242424243
2021,CHI,right,end,25,-0.8618464374542237,0.32
2021,CHI,right,guard,67,-0.6006084925203178,0.26865671641791045
2021,CHI,right,tackle,50,-0.2869307327270509,0.18
2021,CIN,left,end,48,-0.8389387379089992,0.2708333333333333
2021,CIN,left,guard,52,0.10531161610896787,0.15384615384615385
2021,CIN,left,tackle,81,0.46523772934336693,0.13580246913580246
2021,CIN,middle,guard,69,-0.5470649764157725,0.17391304347826086
2021,CIN,right,end,57,-0.2568491383602747,0.17543859649122806
2021,CIN,right,guard,77,0.030687650689830915,0.11688311688311688
2021,CIN,right,tackle,69,-0.5811477251674818,0.13043478260869565
2021,CLE,left,end,36,2.7791052179204088,0.1388888888888889
2021,CLE,left,guard,60,0.23861718028783716,0.15
2021,CLE,left,tackle,83,1.024901498153985,0.10843373493975904
2021,CLE,middle,guard,26,-1.317285643174098,0.23076923076923078
2021,CLE,right,end,43,0.7920748466669122,0.13953488372093023
2021,CLE,right,guard,90,0.20138427416483456,0.17777777777777778
2021,CLE,right,tackle,83,2.191309535359761,0.13253012048192772
2021,DAL,left,end,40,0.14706359803676605,0.225
2021,DAL,left,guard,42,-0.05099803351220626,0.047619047619047616
2021,DAL,left,tackle,54,-0.6194273972952798,0.24074074074074073
2021,DAL,middle,guard,139,0.6354487928555175,0.17266187050359713
2021,DAL,right,end,48,2.2403508722782135,0.0625
2021,DAL,right,guard,55,-0.6220171841708098,0.07272727272727272
2021,DAL,right,tackle,46,-0.6832639082618379,0.10869565217391304
2021,DEN,left,end,48,-0.47746853095789743,0.1875
2021,DEN,left,guard,55,0.8949766928499411,0.16363636363636364
2021,DEN,left,tackle,51,0.8118895783143891,0.11764705882352941
2021,DEN,middle,guard,90,0.4703303800688834,0.2
2021,DEN,right,end,50,0.03098037421703304,0.22
2021,DEN,right,guard,56,-1.1776572785207202,0.19642857142857142
2021,DEN,right,tackle,63,1.0361402011106884,0.14285714285714285
2021,DET,left,end,35,-0.724034411140851,0.37142857142857144
2021,DET,left,guard,28,3.8061108376298636,0.07142857142857142
2021,DET,left,tackle,73,0.39853428549146025,0.1232876712328767
2021,DET,middle,guard,112,-0.8875237079337239,0.23214285714285715
2021,DET,right,end,33,-1.2967869512962575,0.18181818181818182
2021,DET,right,guard,47,-0.4685778307153822,0.1702127659574468
2021,DET,right,tackle,67,0.7269340095235348,0.14925373134328357
2021,GB,left,end,51,-0.1634073257446289,0.19607843137254902
2021,GB,left,guard,43,2.5248983765757376,0.11627906976744186
2021,GB,left,tackle,34,-1.326606753994437,0.11764705882352941
2021,GB,middle,guard,151,-0.14432762948093056,0.1390728476821192
2021,GB,right,end,40,0.7864474415779115,0.1
2021,GB,right,guard,52,-0.04246675738921522,0.07692307692307693
2021,GB,right,tackle,39,-0.42145954722013246,0.15384615384615385
2021,HOU,left,end,26,-1.7921178524310775,0.38461538461538464
2021,HOU,left,guard,53,-1.4883159781402013,0.1320754716981132
2021,HOU,left,tackle,42,-0.8787853653941837,0.14285714285714285
2021,HOU,middle,guard,141,-1.270840765736627,0.2127659574468085
2021,HOU,right,end,24,-0.8236543933550518,0.2916666666666667
2021,HOU,right,guard,54,-0.20650792563403084,0.09259259259259259
2021,HOU,right,tackle,37,-0.9011817526172946,0.10810810810810811
2021,IND,left,end,48,2.101395219564438,0.2916666666666667
2021,IND,left,guard,60,1.3151205226778968,0.2
2021,IND,left,tackle,45,1.052971922026739,0.2222222222222222
2021,IND,middle,guard,152,0.015528372635966568,0.19736842105263158
2021,IND,right,end,30,3.6065469582875567,0.13333333333333333
2021,IND,right,guard,57,0.3673517934063024,0.12280701754385964
2021,IND,right,tackle,37,2.124014682060963,0.13513513513513514
2021,JAX,left,end,27,3.348588276792456,0.25925925925925924
2021,JAX,left,guard,21,0.8661799430847168,0.09523809523809523
2021,JAX,left,tackle,25,0.04787556648254394,0.16
2021,JAX,middle,guard,160,-0.5724961319938302,0.175
2021,JAX,right,end,23,-0.9429298898448115,0.13043478260869565
2021,JAX,right,guard,22,0.6559723507274283,0
2021,JAX,right,tackle,19,-1.0986022808049856,0.21052631578947367
2021,KC,left,end,50,-0.827234342098236,0.18
2021,KC,left,guard,44,0.20418932492082784,0.13636363636363635
2021,KC,left,tackle,35,0.01872210502624481,0.08571428571428572
2021,KC,middle,guard,126,0.5259533408615321,0.1349206349206349
2021,KC,right,end,49,-0.8564613850749271,0.24489795918367346
2021,KC,right,guard,43,0.2692923282468042,0.13953488372093023
2021,KC,right,tackle,40,-0.7803026735782623,0.075
2021,LA,left,end,38,-0.5863421653446401,0.23684210526315788
2021,LA,left,guard,41,-0.7146795144895226,0.2682926829268293
2021,LA,left,tackle,99,-0.38307412706240224,0.2222222222222222
2021,LA,middle,guard,132,-1.0468919390078737,0.23484848484848486
2021,LA,right,end,33,1.3293928811044409,0.06060606060606061
2021,LA,right,guard,47,0.7450586709570381,0.14893617021276595
2021,LA,right,tackle,80,-0.3479985680431127,0.1875
2021,LAC,left,end,54,1.097388670400338,0.2777777777777778
2021,LAC,left,guard,60,0.6326824083924294,0.08333333333333333
2021,LAC,left,tackle,46,0.29878876908965707,0.08695652173913043
2021,LAC,middle,guard,84,-0.5734118904386248,0.2261904761904762
2021,LAC,right,end,33,-0.2681420644124349,0.18181818181818182
2021,LAC,right,guard,41,0.25773969219952086,0.0975609756097561
2021,LAC,right,tackle,31,-0.8094083253414397,0.16129032258064516
2021,LV,left,end,26,-1.5626811190293384,0.3076923076923077
2021,LV,left,guard,83,-0.4165159348981923,0.14457831325301204
2021,LV,left,tackle,61,-0.6588342609952709,0.14754098360655737
2021,LV,middle,guard,76,-0.4474098117727982,0.21052631578947367
2021,LV,right,guard,64,1.1714694537222385,0.109375
2021,LV,right,tackle,37,1.5379937226707876,0.10810810810810811
2021,MIA,left,end,16,0.5921229347586632,0.0625
2021,MIA,left,guard,83,-0.465736982334091,0.12048192771084337
2021,MIA,left,tackle,48,-0.5398783177758257,0.20833333333333334
2021,MIA,middle,guard,87,-1.0042818949140349,0.22988505747126436
2021,MIA,right,end,21,0.7223731761886958,0.19047619047619047
2021,MIA,right,guard,80,-0.9202625382691623,0.2125
2021,MIA,right,tackle,35,-0.7991697720118928,0.14285714285714285
2021,MIN,left,end,40,0.012757107615470886,0.325
2021,MIN,left,guard,48,0.010877829045057297,0.20833333333333334
2021,MIN,left,tackle,56,0.4483403959976774,0.14285714285714285
2021,MIN,middle,guard,96,0.26002403472860663,0.16666666666666666
2021,MIN,right,end,55,0.11460648016496125,0.32727272727272727
2021,MIN,right,guard,56,-0.2705780118703842,0.19642857142857142
2021,MIN,right,tackle,63,-0.2259099086125692,0.3333333333333333
2021,NE,left,end,56,0.7001551219395226,0.14285714285714285
2021,NE,left,guard,56,0.5957627535930698,0.125
2021,NE,left,tackle,30,0.750671315193177,0.2
2021,NE,middle,guard,152,-0.07957096339056384,0.21710526315789475
2021,NE,right,end,24,2.4848688294490175,0.125
2021,NE,right,guard,61,0.9608572828965101,0.13114754098360656
2021,NE,right,tackle,47,-1.170289461282974,0.2553191489361702
