season,receiver_player_id,receiver_full_name,receiver_position,targets,ep_per_target
2021,00-0027981,Kyle Rudolph,TE,40,2.1486478026014053
2021,00-0029000,Cole Beasley,WR,113,1.989846734356199
2021,00-0029239,Brandon Bolden,RB,49,2.0957244774599904
2021,00-0029293,Marvin Jones,WR,120,1.938102064278064
2021,00-0030035,Adam Thielen,WR,95,2.1529842829635046
2021,00-0030061,Zach Ertz,TE,113,2.312443499562955
2021,00-0030068,Marquise Goodwin,WR,40,1.5761079910225817
2021,00-0030108,Ryan Griffin,TE,42,2.2202343246871825
2021,00-0030181,Jack Doyle,TE,45,2.380324031460456
2021,00-0030279,Keenan Allen,WR,158,2.0119673909518685
2021,00-0030431,Robert Woods,WR,70,1.9833423009767994
2021,00-0030506,Travis Kelce,TE,134,2.098435926311276
2021,00-0030564,DeAndre Hopkins,WR,64,2.3208006912113888
2021,00-0030578,Cordarrelle Patterson,RB,69,1.7800308760640253
2021,00-0031235,Odell Beckham,WR,83,1.7921760097292943
2021,00-0031236,Brandin Cooks,WR,134,1.5986872330907846
2021,00-0031273,Cameron Brate,TE,57,2.840146538607466
2021,00-0031285,Devonta Freeman,RB,42,2.0240777782067503
2021,00-0031325,Sammy Watkins,WR,49,1.6571160353915007
2021,00-0031381,Davante Adams,WR,169,2.30032221728918
2021,00-0031382,Jarvis Landry,WR,87,1.782610090775616
2021,00-0031408,Mike Evans,WR,114,2.1378539464903152
2021,00-0031428,Allen Robinson,WR,67,1.8460811566365536
2021,00-0031544,Amari Cooper,WR,104,2.2211336598629714
2021,00-0031547,DeVante Parker,WR,73,1.6161657607626196
2021,00-0031549,Nelson Agholor,WR,64,2.115572635530043
2021,00-0031588,Stefon Diggs,WR,164,2.2582066586092413
2021,00-0031610,Darren Waller,TE,93,1.9877652708955498
2021,00-0031763,DeAndre Carter,WR,44,1.8452273657563967
2021,00-0031941,Jamison Crowder,WR,73,1.979521700978828
2021,00-0032009,Adam Humphries,WR,62,1.783401019542643
2021,00-0032063,Mike Davis,RB,58,1.5701741232930138
2021,00-0032104,Ameer Abdullah,RB,53,1.9303484973278036
2021,00-0032134,C.J. Uzomah,TE,63,1.8828793864656563
2021,00-0032141,Geoff Swaim,TE,40,2.395609863745631
2021,00-0032187,David Johnson,RB,42,1.6065446363132825
2021,00-0032211,Tyler Lockett,WR,108,1.8756884846805866
2021,00-0032355,Chester Rogers,WR,43,1.8495928270885789
2021,00-0032385,Sterling Shepard,WR,53,2.0494430678883426
2021,00-0032392,Austin Hooper,TE,62,2.2283215699869947
2021,00-0032464,Kalif Raymond,WR,71,1.939751050642013
2021,00-0032602,J.D. McKissic,RB,54,1.6014092454939515
2021,00-0032688,Robby Anderson,WR,110,1.6438303484290373
2021,00-0032775,Demarcus Robinson,WR,41,2.3871018483329043
2021,00-0032951,Laquon Treadwell,WR,51,1.660256845412625
2021,00-0032972,Devontae Booker,RB,45,1.3268634425204557
2021,00-0032977,Rashard Higgins,WR,47,1.6736382383257498
2021,00-0033009,Tyler Boyd,WR,95,1.727589707496716
2021,00-0033040,Tyreek Hill,WR,159,2.184741068282897
2021,00-0033045,Ezekiel Elliott,RB,65,2.1929592134251905
2021,00-0033090,Hunter Henry,TE,75,2.475585720234085
2021,00-0033110,Tyler Higbee,TE,85,2.3814224155397183
2021,00-0033118,Kenyan Drake,RB,40,2.146934278937988
2021,00-0033217,Mo Alie-Cox,TE,45,2.6708218660852356
2021,00-0033251,Zach Pascal,WR,69,2.217850186134034
2021,00-0033280,Christian McCaffrey,RB,41,1.7402468920009575
2021,00-0033288,George Kittle,TE,94,1.9758282868712371
2021,00-0033293,Aaron Jones,RB,65,2.448095732932695
2021,00-0033307,Kendrick Bourne,WR,70,1.802788024545381
2021,00-0033375,Tim Patrick,WR,85,1.99359423878589
2021,00-0033455,Anthony Firkser,TE,43,1.5277473237128594
2021,00-0033536,Mike Williams,WR,130,2.3675659328997978
2021,00-0033572,Jamal Agnew,WR,40,1.4419775727666972
2021,00-0033611,Ricky Seals-Jones,TE,51,2.35798907877167
2021,00-0033681,Keelan Cole,WR,52,1.7576495567720043
2021,00-0033699,Austin Ekeler,RB,95,2.090122219430447
2021,00-0033856,Leonard Fournette,RB,84,2.617851960548987
2021,00-0033858,Jonnu Smith,TE,45,2.945851003093412
2021,00-0033871,Corey Davis,WR,59,1.5381495175464868
