season,receiver_player_id,receiver_full_name,receiver_position,posteam,receptions,yac,yac_exp,yac_oe_total,yac_oe_per_rec
2020,00-0031387,Eric Ebron,TE,PIT,56,38.619151785969734,244.69076758623123,-206.0716158002615,-3.6798502821475267
2020,00-0031408,Mike Evans,WR,TB,70,44.698527827858925,261.2035089805722,-216.5049811527133,-3.092928302181618
2020,00-0031428,Allen Robinson,WR,CHI,102,71.65595325827599,414.58801294863224,-342.93205969035625,-3.36207901657212
2020,00-0031544,Amari Cooper,WR,DAL,92,65.54176431894302,367.90691544674337,-302.36515112780035,-3.286577729650004
2020,00-0031547,DeVante Parker,WR,MIA,63,41.262827813625336,239.12142270058393,-197.8585948869586,-3.140612617253311
2020,00-0031549,Nelson Agholor,WR,LV,48,33.43025875091553,180.79564908891916,-147.36539033800364,-3.070112298708409
2020,00-0031588,Stefon Diggs,WR,BUF,127,81.5856966227293,554.8793339431286,-473.2936373203993,-3.726721553703931
2020,00-0031610,Darren Waller,TE,LV,107,75.31699475646019,527.9421678707004,-452.62517311424017,-4.230141804805983
2020,00-0031868,Damiere Byrd,WR,NE,47,35.364196598529816,211.50821197032928,-176.14401537179947,-3.747745007910627
2020,00-0031941,Jamison Crowder,WR,NYJ,59,43.75859081745148,240.31065378338099,-196.5520629659295,-3.3313908977276188
2020,00-0031951,James O'Shaughnessy,TE,JAX,28,19.017963871359825,137.0395221710205,-118.02155829966068,-4.21505565355931
2020,00-0032054,Breshad Perriman,WR,NYJ,30,20.716755628585815,122.89827874302864,-102.18152311444283,-3.4060507704814276
2020,00-0032063,Mike Davis,RB,CAR,59,39.89862635731697,460.4921382665634,-420.59351190924644,-7.128703591682143
2020,00-0032128,Chris Conley,WR,JAX,40,29.184612661600113,156.44613629579544,-127.26152363419533,-3.1815380908548834
2020,00-0032144,Melvin Gordon,RB,DEN,32,23.79986745119095,248.73649464547634,-224.9366271942854,-7.0292695998214185
2020,00-0032187,David Johnson,RB,HOU,33,25.072287529706955,215.7502410635352,-190.67795353382826,-5.778119804055402
