season,week,posteam,implied_total,total_line,vegas_wp
2020,12,MIA,26.75,46,0.8772240113466978
2020,12,MIN,23.5,50,0.45987425657979075
2020,12,NE,26,51,0.4660170047233502
2020,12,NO,26.75,36.5,0.963638017574946
2020,12,NYG,25.75,45,0.7519118644297123
2020,12,NYJ,26.75,46,0.15147120087407528
2020,12,PHI,28.25,50,0.10642639449407867
2020,12,PIT,15.5,41.5,0.9039058727277837
2020,12,SEA,28.25,50,0.8687923511520761
2020,12,SF,19.75,44.5,0.5282298786675229
2020,12,TB,29.75,56,0.11398518896075313
2020,12,TEN,24.25,51.5,0.744114904261347
2020,12,WAS,21.75,46,0.6353474524286057
2020,13,ARI,25.75,49,0.2072657685591063
2020,13,ATL,24.25,46,0.22244295887649057
2020,13,BAL,18.75,46,0.8680516746309068
2020,13,BUF,23.25,48,0.6961166498376363
2020,13,CHI,20.5,44,0.7303843094752385
2020,13,CIN,16.25,43,0.19038235213057222
2020,13,CLE,25,54,0.8177163319928307
2020,13,DAL,18.75,46,0.12794212263160212
2020,13,DEN,19,51,0.21823548646727878
2020,13,DET,20.5,44,0.22634980641305447
2020,13,GB,21,50,0.8977433432966976
2020,13,HOU,26.75,50,0.24110010906792523
2020,13,IND,26.75,50,0.780724355019629
2020,13,JAX,20.25,51,0.3208489356986521
2020,13,KC,19,51,0.8217678262341407
2020,13,LA,25.75,49,0.6735055859272295
2020,13,LAC,22.25,47,0.10652980097173731
2020,13,LV,27.75,48,0.6716102477576997
2020,13,MIA,16.25,43,0.8438531373863789
2020,13,MIN,20.25,51,0.7016465420781544
2020,13,NE,22.25,47,0.8403428192322071
2020,13,NO,24.25,46,0.8061578322763312
2020,13,NYG,18.75,48.5,0.41216557572947615
2020,13,NYJ,27.75,48,0.29923320719908025
2020,13,PHI,21,50,0.13150883843683495
2020,13,PIT,19,43.5,0.7305275310776127
2020,13,SEA,18.75,48.5,0.6072248937991949
2020,13,SF,23.25,48,0.2838370079844026
2020,13,TEN,25,54,0.10336181321293114
2020,13,WAS,19,43.5,0.27564226791485036
2020,14,ARI,25,47,0.8898729208188179
2020,14,ATL,24,49,0.5605049268254694
2020,14,BAL,24.25,45.5,0.6796408523045204
2020,14,BUF,23.25,48.5,0.7344629087618421
2020,14,CAR,21,46,0.30355817757424763
2020,14,CHI,23.5,46,0.8790054528840952
2020,14,CIN,23.5,44,0.1250136919158435
2020,14,CLE,24.25,45.5,0.23995822319465798
2020,14,DAL,23.5,44,0.9142457743485769
2020,14,DEN,21,46,0.651178807233428
2020,14,DET,32.5,55.5,0.13595836516469717
2020,14,GB,32.5,55.5,0.8574129259213805
2020,14,HOU,23.5,46,0.16925308118040622
2020,14,IND,27,51.5,0.7442819536742518
2020,14,JAX,30.25,53,0.07336243865901831
2020,14,KC,29.5,51.5,0.8440560415900987
2020,14,LA,19.25,43.5,0.9200553366395294
2020,14,LAC,24,49,0.4981124699115753
2020,14,LV,27,51.5,0.2060147011928647
2020,14,MIA,29.5,51.5,0.17318729924880066
2020,14,MIN,22.75,52.5,0.19743601819285206
2020,14,NE,19.25,43.5,0.07181337365601885
2020,14,NO,25.25,43,0.39574211707402923
2020,14,NYG,25,47,0.14724301000600595
2020,14,NYJ,16.5,49.5,0.037436117311615974
2020,14,PHI,25.25,43,0.6092962776169633
2020,14,PIT,23.25,48.5,0.3442950078330257
2020,14,SEA,16.5,49.5,0.9792226886048037
2020,14,SF,20.25,43.5,0.37601199036244665
2020,14,TB,22.75,52.5,0.8528102125440326
2020,14,TEN,30.25,53,0.9459763607010245
2020,14,WAS,20.25,43.5,0.6208491772413254
2020,15,ARI,21.5,49.5,0.80671691182834
2020,15,ATL,27.75,49.5,0.5446608138661231
2020,15,BAL,18.25,49.5,0.9671004878150092
2020,15,BUF,27.25,49,0.917573032900691
2020,15,CAR,21.75,53,0.060932391593533176
2020,15,CHI,22.5,47.5,0.680862332620318
2020,15,CIN,27.5,40.5,0.5532075415054957
2020,15,CLE,25.25,44.5,0.857650605901595
2020,15,DAL,25,46,0.5605274545294898
2020,15,DEN,27.25,49,0.08431655437366317
2020,15,DET,22.5,54.5,0.09403777147302976
2020,15,GB,21.75,53,0.9437869765928814
2020,15,HOU,22.5,52.5,0.13628208841527661
2020,15,IND,22.5,52.5,0.8308993979142263
2020,15,JAX,18.25,49.5,0.019847863967225193
2020,15,KC,28,53.5,0.8041696682318921
2020,15,LA,13.5,44.5,0.4846398687025286
2020,15,LAC,24.25,52,0.5389524207430945
2020,15,LV,24.25,52,0.4713386611868981
2020,15,MIA,20.75,40,0.5069920391215795
2020,15,MIN,22.5,47.5,0.2895357153481907
2020,15,NE,20.75,40,0.5187792146996576
2020,15,NO,28,53.5,0.19763084282267554
2020,15,NYG,25.25,44.5,0.16766799397105986
2020,15,NYJ,13.5,44.5,0.5411623864164274
2020,15,PHI,21.5,49.5,0.1498382256573439
2020,15,PIT,27.5,40.5,0.4365889351723379
2020,15,SEA,25.25,44.5,0.8846632500864425
2020,15,SF,25,46,0.38018549458290263
2020,15,TB,27.75,49.5,0.4543662277005967
2020,15,TEN,22.5,54.5,0.9148797208614309
2020,15,WAS,25.25,44.5,0.11908151440596895
2020,16,ARI,21.5,49,0.46100164630149426
2020,16,ATL,21.5,54,0.26350629047073165
2020,16,BAL,16.75,43.5,0.9405660105474067
2020,16,BUF,27,47,0.9042049058726136
2020,16,CAR,21,41,0.8582486084529333
2020,16,CHI,28.25,47,0.8935720739157305
2020,16,CIN,19.25,46,0.45962238605593286
2020,16,CLE,25.75,45,0.38748179795876353
2020,16,DAL,26.5,50,0.553121802629903
2020,16,DEN,22.5,47.5,0.22653954431414605
2020,16,DET,33.5,55,0.015752297151780312
2020,16,GB,24.75,52.5,0.8843227285535209
2020,16,HOU,19.25,46,0.5355229570344091
2020,16,IND,22,43,0.6593507225475004
2020,16,JAX,28.25,47,0.11527215339302994
2020,16,KC,21.5,54,0.7376039380376989
2020,16,LA,23.25,48,0.396896833974299
2020,16,LAC,22.5,47.5,0.7918009566810895
2020,16,LV,26,50,0.5718415713515775
2020,16,MIA,26,50,0.44511756747961045
2020,16,MIN,21.25,49,0.11284542002859406
2020,16,NE,27,47,0.08473641491461119
2020,16,NO,21.25,49,0.8588415955843991
2020,16,NYG,16.75,43.5,0.029041621602307312
2020,16,NYJ,25.75,45,0.6470529988630493
2020,16,PHI,26.5,50,0.3848127478783734
2020,16,PIT,22,43,0.3132816699170876
2020,16,SEA,23.25,48,0.6485202674354825
2020,16,SF,21.5,49,0.5784830141526002
2020,16,TB,33.5,55,0.9751694325138541
2020,16,TEN,24.75,52.5,0.09650505923700792
2020,16,WAS,21,41,0.12510046936839708
2020,17,ARI,20.5,42,0.33106645784185573
2020,17,ATL,21.75,51,0.11784166913088744
2020,17,BAL,29.75,46,0.9559612461965378
2020,17,BUF,23,42.5,0.6904085226475245
2020,17,CAR,26.5,47,0.13576283910008083
2020,17,CHI,26.5,48.5,0.21080550340212378
2020,17,CIN,29.75,46,0.031061944982354817
2020,17,CLE,17.25,45,0.905017824008547
2020,17,DAL,23,44.5,0.4040184222363137
2020,17,DEN,26.5,50.5,0.4762088804645715
2020,17,DET,28.5,54,0.3265832788196477
2020,17,GB,26.5,48.5,0.7674113428869913
2020,17,HOU,31.25,55.5,0.18447272116099966
2020,17,IND,16.25,48,0.9719049054702601
2020,17,JAX,16.25,48,0.04568339055265948
2020,17,KC,25,43,0.17690483933998916
2020,17,LA,20.5,42,0.634544254225843
2020,17,LAC,25,43,0.8243916303399783
2020,17,LV,26.5,50.5,0.44404616664265917
2020,17,MIA,23,42.5,0.17548922390901686
2020,17,MIN,28.5,54,0.6628816522343058
2020,17,NE,19,41,0.6639437213540077
2020,17,NO,26.5,47,0.9171535170847369
2020,17,NYG,23,44.5,0.6206417229940306
2020,17,NYJ,19,41,0.2655687104910366
2020,17,PHI,25,43.5,0.22242148671179046
2020,17,PIT,17.25,45,0.09264488649838247
2020,17,SEA,26,45,0.6600354493610443
2020,17,SF,26,45,0.3349360090787294
2020,17,TB,21.75,51,0.8863035837809244
2020,17,TEN,31.25,55.5,0.7645798018750023
2020,17,WAS,25,43.5,0.796312600879346
2021,1,ARI,25.75,54,0.8459071406951318
2021,1,ATL,22.75,49,0.3772233040386917
