season,posteam,games,team_pass_attempts,team_carries,team_rec_yds_exp,team_rec_td_exp,team_rush_td_exp,pass_attempts_pg,carries_pg
2020,NYJ,16,499,406,3478.9400000000005,17.77,9.52,31.1875,25.375
2020,PHI,16,598,403,4369.96,23.43,12.809999999999999,37.375,25.1875
2020,PIT,16,656,373,4474.53,32.74,17.380000000000003,41,23.3125
2020,SEA,16,563,411,4353.699999999999,40.49,14.629999999999999,35.1875,25.6875
2020,SF,16,570,437,4151.8099999999995,23.64,15.95,35.625,27.3125
2020,TB,16,626,369,4974.790000000001,42.74,13.639999999999999,39.125,23.0625
2020,TEN,16,485,521,3835.7500000000005,28.049999999999997,20.810000000000002,30.3125,32.5625
2020,WAS,16,601,400,4021.5499999999997,19.549999999999997,16.939999999999998,37.5625,25
2021,ARI,17,591,496,4481.720000000001,33.94,23.51,34.76470588235294,29.176470588235293
2021,ATL,17,573,393,4146.759999999998,24.650000000000002,10.439999999999998,33.705882352941174,23.11764705882353
2021,BAL,17,611,517,4594.419999999999,27.999999999999996,16.490000000000002,35.94117647058823,30.41176470588235
2021,BUF,17,655,461,4917.499999999999,46.04999999999999,21.39,38.529411764705884,27.11764705882353
2021,CAR,17,599,455,4306.96,20.869999999999994,14.939999999999998,35.23529411764706,26.764705882352942
2021,CHI,17,542,475,3896.1,21.39,17.099999999999998,31.88235294117647,27.941176470588236
2021,CIN,17,555,436,4036.1800000000003,26.36,14.77,32.64705882352941,25.647058823529413
2021,CLE,17,520,485,3983.09,23.480000000000004,15.64,30.58823529411765,28.529411764705884
2021,DAL,17,647,473,5103.479999999999,38.6,16.17,38.05882352941177,27.823529411764707
2021,DEN,17,541,455,4013.71,22.599999999999998,16.77,31.823529411764707,26.764705882352942
2021,DET,17,593,427,4041.070000000001,20.76,10.920000000000002,34.88235294117647,25.11764705882353
2021,GB,17,593,446,4252.62,41.309999999999995,16.77,34.88235294117647,26.235294117647058
2021,HOU,17,546,420,3799.2699999999995,19.630000000000003,9.549999999999999,32.11764705882353,24.705882352941178
2021,IND,17,521,499,3798.6800000000003,28.61,21.349999999999998,30.647058823529413,29.352941176470587
