season,posteam,games,outdoor_share,mean_wind,mean_temp,harsh_share
2022,DET,3,0.6494845360824743,10.938144329896902,40.1443298969072,0.30927835051546393
2022,GB,3,1,8.30851063829787,32.71276595744682,0.34574468085106386
2022,HOU,3,0.34054054054054056,10.043243243243245,47.05945945945947,0.34054054054054056
2022,IND,3,0.31213872832369943,9.872832369942195,57.50289017341041,0
2022,JAX,3,0.7055837563451777,11.548223350253807,51.857868020304565,0.3553299492385787
2022,KC,3,0.592391304347826,6.3478260869565215,42.78804347826087,0.2717391304347826
2022,LA,3,0.2585034013605442,6.965986394557822,48.36734693877549,0.2585034013605442
2022,LAC,3,0,8,60,0
2022,LV,3,0.2784090909090909,11.61931818181818,45.80113636363636,0.2784090909090909
2022,MIA,3,1,5.783132530120482,42.83132530120483,0.3373493975903614
2022,MIN,3,0.2722772277227723,7.727722772277227,54.282178217821794,0
2022,NE,3,0.6190476190476191,4.285714285714285,46.14285714285714,0.2976190476190476
2022,NO,3,0.6807228915662651,15.24698795180723,40.3012048192771,0.3253012048192771
2022,NYG,3,0.6577540106951871,11.614973262032086,49.101604278074866,0
2022,NYJ,3,1,10.219653179190754,42.08092485549133,0.3063583815028902
2022,PHI,3,0.6310160427807486,12.171122994652405,42.165775401069524,0.37967914438502676
2022,PIT,3,1,9.905472636815919,33.50746268656716,0.3283582089552239
2022,SEA,3,1,6.311224489795922,37.48469387755101,0.3622448979591837
2022,SF,3,0.6352941176470588,6.305882352941177,58.305882352941175,0
2022,TB,3,1,5.399999999999999,66.81818181818181,0
2022,TEN,3,0.6882352941176471,8.423529411764708,46.44705882352942,0.3176470588235294
2022,WAS,3,1,7.638297872340425,50.170212765957444,0
2023,ARI,3,1,7.175000000000001,52.315,0
2023,ATL,3,0.631578947368421,7.894736842105265,46.78947368421053,0.3333333333333333
2023,BAL,3,1,9.524861878453038,54.93922651933702,0
2023,BUF,3,0.7197802197802198,6.879120879120881,46.57692307692307,0
2023,CAR,3,1,6.497041420118346,56.840236686390526,0
2023,CHI,3,1,7.9900990099009865,42.84653465346535,0.6732673267326733
2023,CIN,3,1,7.420212765957449,45.86702127659575,0
2023,CLE,3,0.6091370558375635,9.659898477157364,51.441624365482234,0.3197969543147208
2023,DAL,3,0.6529411764705882,10.664705882352942,61.21764705882352,0.3352941176470588
2023,DEN,3,0.679144385026738,7.636363636363635,42.78609625668449,0.3315508021390374
2023,DET,3,0,8,60,0
2023,GB,3,0.6178010471204188,5.7277486910994755,56.99476439790575,0
2023,HOU,3,0.35233160621761656,8.352331606217616,55.77202072538861,0
2023,IND,3,0,8,60,0
2023,JAX,3,1,10.679775280898873,61.97752808988764,0
2023,KC,3,1,9.988826815642462,42.29050279329609,0
2023,LA,3,0.29381443298969073,8.587628865979381,54.417525773195884,0
2023,LAC,3,0.34065934065934067,7.318681318681318,53.527472527472526,0
2023,LV,3,0.27956989247311825,8.838709677419356,53.8494623655914,0
2023,MIA,3,1,12.17127071823204,66.45856353591161,0.6464088397790055
2023,MIN,3,0.4025157232704403,6.7924528301886795,57.18238993710692,0
2023,NE,3,1,6.7218543046357615,38.09933774834436,0.3576158940397351
