"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rush_attempt","rec_attempt","rush_yards_gained","rush_yards_gained_exp","rush_touchdown","rush_touchdown_exp","rec_touchdown","rec_touchdown_exp","rec_yards_gained","rec_yards_gained_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","expected_td_equity","team_rush_att","backfield_command","target_volume"
"2024",10,"00-0038794","Jaleel McLaughlin","RB","DEN",0,0,2,0,12,9.07,0,0,0,0,0,0,1.2,0.93,0.27,0,0,17,0.117647058823529,0
"2024",10,"00-0039373","Audric Estimé","RB","DEN",0,0,14,0,53,53.59,0,0.05,0,0,0,0,5.3,5.67,-0.37,-0.05,0.05,17,0.823529411764706,0
"2024",10,"00-0039325","Carson Steele","RB","KC",0,0,2,0,3,10.31,0,0.01,0,0,0,0,0.3,1.07,-0.77,-0.01,0.01,16,0.125,0
"2024",10,"00-0033854","Dare Ogunbowale","RB","HOU",0,0,1,0,11,6.04,0,0,0,0,0,0,1.1,0.63,0.47,0,0,26,0.0384615384615385,0
"2024",10,"00-0039874","Jaylen Wright","RB","MIA",0,0,5,0,3,23.45,0,0.03,0,0,0,0,0.3,2.52,-2.22,-0.03,0.03,17,0.294117647058824,0
"2024",10,"00-0038555","Tank Bigsby","RB","JAX",0,0,2,0,4,8.59,0,0,0,0,0,0,0.4,0.88,-0.48,0,0,13,0.153846153846154,0
"2024",10,"00-0037276","Ty Chandler","RB","MIN",0,0,4,0,18,17.62,0,0.05,0,0,0,0,1.8,2.05,-0.25,-0.05,0.05,34,0.117647058823529,0
"2024",10,"00-0036328","Antonio Gibson","RB","NE",0,0,5,0,26,19.9,0,0.2,0,0,0,0,2.6,3.19,-0.59,-0.2,0.2,31,0.161290322580645,0
"2024",10,"00-0035243","Miles Sanders","RB","CAR",0,0,2,0,5,8.42,0,0,0,0,0,0,0.5,0.87,-0.37,0,0,30,0.0666666666666667,0
"2024",10,"00-0038705","Emari Demercado","RB","ARI",0,0,3,0,22,12.84,0,0.01,0,0,0,0,2.2,1.35,0.85,-0.01,0.01,28,0.107142857142857,0
"2024",10,"00-0036425","DeeJay Dallas","RB","ARI",0,0,3,0,10,12.4,0,0.01,0,0,0,0,1,1.3,-0.3,-0.01,0.01,28,0.107142857142857,0
"2024",10,"00-0033045","Ezekiel Elliott","RB","DAL",0,0,6,0,22,23.77,0,0.19,0,0,0,0,0.2,3.49,-3.29,-0.19,0.19,18,0.333333333333333,0
"2024",10,"00-0039746","Will Shipley","RB","PHI",0,0,9,0,34,36.55,0,0.04,0,0,0,0,3.4,3.9,-0.5,-0.04,0.04,30,0.3,0
"2024",10,"00-0036893","Najee Harris","RB","PIT",0,0,21,0,53,81.37,1,1.15,0,0,0,0,11.3,15.02,-3.72,-0.15,1.15,38,0.552631578947368,0
"2024",10,"00-0030578","Cordarrelle Patterson","RB","PIT",0,0,3,0,14,15.77,0,0.01,0,0,0,0,1.4,1.63,-0.23,-0.01,0.01,38,0.0789473684210526,0
"2024",10,"00-0033955","Jeremy McNichols","RB","WAS",0,0,4,0,7,12.79,1,0.51,0,0,0,0,6.7,4.37,2.33,0.49,0.51,19,0.210526315789474,0
"2024",10,"00-0038611","Chris Rodriguez Jr.","RB","WAS",0,0,2,0,4,8.13,0,0.01,0,0,0,0,0.4,0.9,-0.5,-0.01,0.01,19,0.105263157894737,0
"2024",10,"00-0037525","Jordan Mason","RB","SF",0,0,1,0,5,5.24,0,0.01,0,0,0,0,0.5,0.56,-0.06,-0.01,0.01,15,0.0666666666666667,0
"2024",10,"00-0039363","Isaac Guerendo","RB","SF",0,0,1,0,0,3.34,0,0.05,0,0,0,0,0,0.62,-0.62,-0.05,0.05,15,0.0666666666666667,0
"2024",10,"00-0034184","Gus Edwards","RB","LAC",0,0,10,0,55,40.12,0,0.42,0,0,0,0,5.5,6.55,-1.05,-0.42,0.42,27,0.37037037037037,0
"2024",10,"00-0037617","Hassan Haskins","RB","LAC",0,0,2,0,4,3.67,1,0.68,0,0,0,0,6.4,4.47,1.93,0.32,0.68,27,0.0740740740740741,0
"2024",11,"00-0038794","Jaleel McLaughlin","RB","DEN",0,0,4,0,19,18.77,0,0.03,0,0,0,0,1.9,2.04,-0.14,-0.03,0.03,21,0.19047619047619,0
"2024",11,"00-0039393","Jase McClellan","RB","ATL",0,0,8,0,15,37.9,0,0.05,0,0,0,0,1.5,4.06,-2.56,-0.05,0.05,20,0.4,0
"2024",11,"00-0032764","Derrick Henry","RB","BAL",0,0,13,0,65,54.08,1,0.81,0,0,0,0,10.5,10.29,0.210000000000001,0.19,0.81,15,0.866666666666667,0
"2024",11,"00-0034184","Gus Edwards","RB","LAC",0,0,6,0,27,27,0,0.14,0,0,0,0,2.7,3.54,-0.84,-0.14,0.14,19,0.31578947368421,0
"2024",11,"00-0037617","Hassan Haskins","RB","LAC",0,0,2,0,1,1.24,0,0.84,0,0,0,0,0.1,5.14,-5.04,-0.84,0.84,19,0.105263157894737,0
"2024",11,"00-0034791","Nick Chubb","RB","CLE",0,0,11,0,50,48.86,0,0.02,0,0,0,0,5,5.02,-0.0199999999999996,-0.02,0.02,18,0.611111111111111,0
"2024",11,"00-0038678","Jordan Mims","RB","NO",0,0,2,0,3,9.83,0,0.02,0,0,0,0,0.3,1.11,-0.81,-0.02,0.02,18,0.111111111111111,0
"2024",11,"00-0038098","Pierre Strong","RB","CLE",0,0,2,0,5,10.86,0,0.01,0,0,0,0,0.5,1.13,-0.63,-0.01,0.01,18,0.111111111111111,0
"2024",11,"00-0038797","Emanuel Wilson","RB","GB",0,0,2,0,17,8.73,0,0.01,0,0,0,0,1.7,0.96,0.74,-0.01,0.01,20,0.1,0
"2024",11,"00-0037258","Dameon Pierce","RB","HOU",0,0,1,0,2,4.8,0,0,0,0,0,0,0.2,0.5,-0.3,0,0,21,0.0476190476190476,0
"2024",11,"00-0039794","Braelon Allen","RB","NYJ",0,0,2,0,6,9.27,0,0.04,0,0,0,0,0.6,1.18,-0.58,-0.04,0.04,18,0.111111111111111,0
"2024",11,"00-0035628","D'Ernest Johnson","RB","JAX",0,0,2,0,3,8.29,0,0,0,0,0,0,0.3,0.86,-0.56,0,0,14,0.142857142857143,0
"2024",11,"00-0035567","Craig Reynolds","RB","DET",0,0,2,0,21,7.96,0,0.01,0,0,0,0,2.1,0.87,1.23,-0.01,0.01,33,0.0606060606060606,0
"2024",11,"00-0039364","Sione Vaki","RB","DET",0,0,5,0,9,19.23,0,0.03,0,0,0,0,0.9,2.1,-1.2,-0.03,0.03,33,0.151515151515152,0
"2024",11,"00-0033923","Kareem Hunt","RB","KC",0,0,14,0,60,50.48,0,0.99,0,0,0,0,6,11,-5,-0.99,0.99,15,0.933333333333333,0
"2024",11,"00-0039875","Ray Davis","RB","BUF",0,0,5,0,11,21.79,0,0.14,0,0,0,0,1.1,3.05,-1.95,-0.14,0.14,19,0.263157894736842,0
"2024",11,"00-0037840","Kyren Williams","RB","LA",0,0,15,0,86,68.22,0,0.06,0,0,0,0,8.6,7.17,1.43,-0.06,0.06,20,0.75,0
"2024",11,"00-0035806","JaMycal Hasty","RB","NE",0,0,2,0,2,9.68,0,0.01,0,0,0,0,0.2,1,-0.8,-0.01,0.01,26,0.0769230769230769,0
"2024",11,"00-0031687","Raheem Mostert","RB","MIA",0,0,3,0,-2,6.12,0,0.64,0,0,0,0,-0.2,4.46,-4.66,-0.64,0.64,25,0.12,0
"2024",11,"00-0038040","Zamir White","RB","LV",0,0,5,0,9,20.87,0,0.02,0,0,0,0,0.9,2.18,-1.28,-0.02,0.02,11,0.454545454545455,0
"2024",11,"00-0037525","Jordan Mason","RB","SF",0,0,2,0,13,8.27,0,0.05,0,0,0,0,1.3,1.13,0.17,-0.05,0.05,21,0.0952380952380952,0
"2024",12,"00-0039165","Zach Charbonnet","RB","SEA",0,0,6,0,22,21.14,0,0.7,0,0,0,0,2.2,6.32,-4.12,-0.7,0.7,22,0.272727272727273,0
"2024",12,"00-0039921","Trey Benson","RB","ARI",0,0,4,0,18,18.2,0,0.01,0,0,0,0,1.8,1.89,-0.0899999999999999,-0.01,0.01,12,0.333333333333333,0
"2024",12,"00-0038705","Emari Demercado","RB","ARI",0,0,1,0,14,6.41,0,0,0,0,0,0,1.4,0.66,0.74,0,0,12,0.0833333333333333,0
"2024",12,"00-0032764","Derrick Henry","RB","BAL",0,0,24,0,140,107.98,0,0.27,0,0,0,0,14,12.4,1.6,-0.27,0.27,28,0.857142857142857,0
