season,player_id,full_name,position,posteam,kind,opportunities,neutral_opps,neutral_share,early_down_share,mean_wp
2020,00-0032972,Devontae Booker,RB,LV,carry,93,57,0.6129032258064516,0.9247311827956989,0.5789595209569341
2020,00-0032977,Rashard Higgins,WR,CLE,target,52,27,0.5192307692307693,0.7115384615384616,0.5615844619747594
2020,00-0033009,Tyler Boyd,WR,CIN,target,110,58,0.5272727272727272,0.7,0.32353926463613536
2020,00-0033040,Tyreek Hill,WR,KC,target,135,78,0.5777777777777777,0.7407407407407407,0.7679512178137277
2020,00-0033045,Ezekiel Elliott,RB,DAL,carry,245,130,0.5306122448979592,0.889795918367347,0.400883283492917
2020,00-0033045,Ezekiel Elliott,RB,DAL,target,72,22,0.3055555555555556,0.875,0.2736637859549349
2020,00-0033090,Hunter Henry,TE,LAC,target,93,56,0.6021505376344086,0.6344086021505376,0.46194082542112275
2020,00-0033110,Tyler Higbee,TE,LA,target,61,33,0.5409836065573771,0.819672131147541,0.5464576117547199
2020,00-0033118,Kenyan Drake,RB,ARI,carry,239,118,0.49372384937238495,0.9205020920502092,0.6050984667654044
2020,00-0033127,Will Fuller,WR,HOU,target,75,41,0.5466666666666666,0.7733333333333333,0.4389934393675261
2020,00-0033251,Zach Pascal,WR,IND,target,72,40,0.5555555555555556,0.6944444444444444,0.6284868731504766
2020,00-0033280,Christian McCaffrey,RB,CAR,carry,59,25,0.423728813559322,0.8813559322033898,0.21323475330057795
2020,00-0033282,Curtis Samuel,WR,CAR,target,97,51,0.5257731958762887,0.6288659793814433,0.34790638815110536
2020,00-0033288,George Kittle,TE,SF,target,64,38,0.59375,0.75,0.5109455429170148
2020,00-0033293,Aaron Jones,RB,GB,carry,202,101,0.5,0.9603960396039604,0.7938281424721095
2020,00-0033293,Aaron Jones,RB,GB,target,63,35,0.5555555555555556,0.7777777777777778,0.740026893550604
2020,00-0033307,Kendrick Bourne,WR,SF,target,75,32,0.4266666666666667,0.6533333333333333,0.41788760857275387
2020,00-0033308,Matt Breida,RB,MIA,carry,59,32,0.5423728813559322,0.9322033898305084,0.6365486700403489
2020,00-0033375,Tim Patrick,WR,DEN,target,80,43,0.5375,0.6125,0.34042576382691714
2020,00-0033387,Jacob Hollister,TE,SEA,target,41,25,0.6097560975609756,0.7317073170731707,0.6609080114199257
2020,00-0033455,Anthony Firkser,TE,TEN,target,53,26,0.49056603773584906,0.49056603773584906,0.49956204909348056
2020,00-0033471,Isaiah Ford,WR,MIA,target,44,17,0.38636363636363635,0.6818181818181818,0.25270939683485427
2020,00-0033526,Samaje Perine,RB,CIN,carry,63,23,0.36507936507936506,0.9206349206349206,0.3398507235169891
2020,00-0033536,Mike Williams,WR,LAC,target,85,39,0.4588235294117647,0.6,0.5171586973774966
2020,00-0033553,James Conner,RB,PIT,carry,169,85,0.5029585798816568,0.9112426035502958,0.7117303851110168
2020,00-0033553,James Conner,RB,PIT,target,43,28,0.6511627906976745,0.813953488372093,0.5764933727508369
2020,00-0033567,Brian Hill,RB,ATL,carry,100,48,0.48,0.92,0.5505617092782633
2020,00-0033589,David Moore,WR,SEA,target,47,27,0.574468085106383,0.6382978723404256,0.6607760046608746
2020,00-0033594,Chris Carson,RB,SEA,carry,141,90,0.6382978723404256,0.9290780141843972,0.7530920248188026
2020,00-0033594,Chris Carson,RB,SEA,target,47,26,0.5531914893617021,0.9574468085106383,0.6757693022835128
2020,00-0033681,Keelan Cole,WR,JAX,target,89,41,0.4606741573033708,0.6853932584269663,0.13760163390478602
2020,00-0033699,Austin Ekeler,RB,LAC,carry,116,73,0.6293103448275862,0.9827586206896551,0.4809680042730932
2020,00-0033699,Austin Ekeler,RB,LAC,target,65,35,0.5384615384615384,0.7692307692307693,0.32557708802129276
2020,00-0033733,Greg Ward,WR,PHI,target,80,38,0.475,0.65,0.3910955264709074
2020,00-0033757,Robert Tonyan,TE,GB,target,59,30,0.5084745762711864,0.6610169491525424,0.6854628262630964
2020,00-0033856,Leonard Fournette,RB,TB,carry,97,35,0.36082474226804123,0.9381443298969072,0.719195058271673
2020,00-0033856,Leonard Fournette,RB,TB,target,47,16,0.3404255319148936,0.851063829787234,0.5336141326402636
2020,00-0033857,JuJu Smith-Schuster,WR,PIT,target,129,52,0.40310077519379844,0.6434108527131783,0.638494609109711
2020,00-0033858,Jonnu Smith,TE,TEN,target,66,35,0.5303030303030303,0.7727272727272727,0.5385649540025854
2020,00-0033871,Corey Davis,WR,TEN,target,92,38,0.41304347826086957,0.75,0.4762186429756895
2020,00-0033881,Evan Engram,TE,NYG,target,109,56,0.5137614678899083,0.6697247706422018,0.32958927416878
2020,00-0033893,Dalvin Cook,RB,MIN,carry,315,177,0.5619047619047619,0.8888888888888888,0.5411819848176128
2020,00-0033893,Dalvin Cook,RB,MIN,target,54,27,0.5,0.7777777777777778,0.4696086790694001
2020,00-0033895,Gerald Everett,TE,LA,target,62,36,0.5806451612903226,0.6451612903225806,0.5324740139917741
2020,00-0033897,Joe Mixon,RB,CIN,carry,119,73,0.6134453781512605,0.8991596638655462,0.39407047758436614
2020,00-0033906,Alvin Kamara,RB,NO,carry,187,112,0.5989304812834224,0.9411764705882353,0.6985824894531069
2020,00-0033906,Alvin Kamara,RB,NO,target,107,64,0.5981308411214953,0.7663551401869159,0.5604636269680303
2020,00-0033908,Cooper Kupp,WR,LA,target,124,70,0.5645161290322581,0.6693548387096774,0.5381074104262817
2020,00-0033921,Chris Godwin,WR,TB,target,84,36,0.42857142857142855,0.6666666666666666,0.5559765878134342
2020,00-0033923,Kareem Hunt,RB,CLE,carry,198,81,0.4090909090909091,0.8636363636363636,0.6654557176532698
2020,00-0033923,Kareem Hunt,RB,CLE,target,51,25,0.49019607843137253,0.6470588235294118,0.49106696931241955
2020,00-0033943,Josh Reynolds,WR,LA,target,81,48,0.5925925925925926,0.7037037037037037,0.5450397042304644
2020,00-0033948,Jamaal Williams,RB,GB,carry,121,64,0.5289256198347108,0.859504132231405,0.7806379468499001
2020,00-0033950,Wayne Gallman,RB,NYG,carry,147,81,0.5510204081632653,0.9455782312925171,0.5114252872220207
2020,00-0033955,Jeremy McNichols,RB,TEN,carry,47,10,0.2127659574468085,0.7872340425531915,0.7196244338249906
2020,00-0034011,Dan Arnold,TE,ARI,target,45,27,0.6,0.7333333333333333,0.5004429629771039
2020,00-0034104,Cam Sims,WR,WAS,target,48,15,0.3125,0.6875,0.28833279124228284
2020,00-0034109,Phillip Lindsay,RB,DEN,carry,118,68,0.576271186440678,0.9576271186440678,0.3878192886617691
2020,00-0034115,Jeffery Wilson,RB,SF,carry,126,77,0.6111111111111112,0.9365079365079365,0.5813541550544739
2020,00-0034184,Gus Edwards,RB,BAL,carry,144,61,0.4236111111111111,0.8333333333333334,0.782534228844775
2020,00-0034272,Marquez Valdes-Scantling,WR,GB,target,63,34,0.5396825396825397,0.6507936507936508,0.7283062263750397
2020,00-0034349,Kerryon Johnson,RB,DET,carry,52,31,0.5961538461538461,0.9423076923076923,0.4195513565881321
2020,00-0034351,Dallas Goedert,TE,PHI,target,65,31,0.47692307692307695,0.8,0.31648283091445384
2020,00-0034353,Anthony Miller,WR,CHI,target,76,31,0.40789473684210525,0.5263157894736842,0.3292097148611279
2020,00-0034364,Jordan Akins,TE,HOU,target,49,27,0.5510204081632653,0.6938775510204082,0.33094763861314574
2020,00-0034366,Keke Coutee,WR,HOU,target,41,23,0.5609756097560976,0.8048780487804879,0.33530311252052825
2020,00-0034367,Nyheim Hines,RB,IND,carry,89,56,0.6292134831460674,0.8876404494382022,0.6523340351878288
2020,00-0034367,Nyheim Hines,RB,IND,target,76,39,0.5131578947368421,0.8157894736842105,0.5984530996992314
2020,00-0034370,DaeSean Hamilton,WR,DEN,target,44,13,0.29545454545454547,0.5681818181818182,0.24221136457502077
2020,00-0034378,Ito Smith,RB,ATL,carry,63,30,0.47619047619047616,0.9365079365079365,0.5075506870117451
2020,00-0034383,Dalton Schultz,TE,DAL,target,89,35,0.39325842696629215,0.7752808988764045,0.3249849150461875
2020,00-0034400,Jordan Wilkins,RB,IND,carry,86,37,0.43023255813953487,0.8488372093023255,0.7421484662189778
2020,00-0034411,Russell Gage,WR,ATL,target,109,56,0.5137614678899083,0.6055045871559633,0.4311717634745863
2020,00-0034414,Boston Scott,RB,PHI,carry,80,53,0.6625,0.925,0.5313270051847212
2020,00-0034419,Braxton Berrios,WR,NYJ,target,55,29,0.5272727272727272,0.6,0.15636535501737608
2020,00-0034440,Justin Jackson,RB,LAC,carry,59,23,0.3898305084745763,0.9661016949152542,0.7231847849295681
2020,00-0034521,Allen Lazard,WR,GB,target,46,20,0.43478260869565216,0.7391304347826086,0.7416479616709377
2020,00-0034676,James Washington,WR,PIT,target,56,33,0.5892857142857143,0.6785714285714286,0.6630543799339129
2020,00-0034681,Chase Edmonds,RB,ARI,carry,97,56,0.5773195876288659,0.8762886597938144,0.6023645858405178
2020,00-0034681,Chase Edmonds,RB,ARI,target,67,36,0.5373134328358209,0.7313432835820896,0.5049965303050661
2020,00-0034753,Mark Andrews,TE,BAL,target,88,35,0.3977272727272727,0.7272727272727273,0.7473662352528084
2020,00-0034764,Michael Gallup,WR,DAL,target,105,52,0.49523809523809526,0.7333333333333333,0.30512625371851576
2020,00-0034765,Tre'Quan Smith,WR,NO,target,50,31,0.62,0.56,0.5901760233659297
2020,00-0034766,Christopher Herndon,TE,NYJ,target,46,12,0.2608695652173913,0.8478260869565217,0.20277305178589414
2020,00-0034775,Christian Kirk,WR,ARI,target,79,41,0.5189873417721519,0.7468354430379747,0.5018097258624591
2020,00-0034777,D.J. Chark,WR,JAX,target,94,39,0.4148936170212766,0.7021276595744681,0.1425191816352195
2020,00-0034791,Nick Chubb,RB,CLE,carry,190,124,0.6526315789473685,0.9473684210526315,0.6865666758832768
2020,00-0034799,Kalen Ballage,RB,LAC,carry,88,43,0.48863636363636365,0.8522727272727273,0.5270681089060371
2020,00-0034816,Ronald Jones,RB,TB,carry,192,96,0.5,0.9635416666666666,0.6952107881916163
2020,00-0034816,Ronald Jones,RB,TB,target,42,25,0.5952380952380952,0.9523809523809523,0.5814773469963777
2020,00-0034827,D.J. Moore,WR,CAR,target,118,57,0.4830508474576271,0.7288135593220338,0.38245342986761377
2020,00-0034829,Mike Gesicki,TE,MIA,target,85,33,0.38823529411764707,0.7294117647058823,0.4631033394996742
2020,00-0034830,Hayden Hurst,TE,ATL,target,89,45,0.5056179775280899,0.7528089887640449,0.47284388808046957
2020,00-0034837,Calvin Ridley,WR,ATL,target,145,59,0.4068965517241379,0.7448275862068966,0.4522789701174857
2020,00-0034845,Sony Michel,RB,NE,carry,79,45,0.569620253164557,0.9113924050632911,0.5920446011283115
2020,00-0034960,Jakobi Meyers,WR,NE,target,82,42,0.5121951219512195,0.7317073170731707,0.43037753358141123
2020,00-0034970,Irv Smith,TE,MIN,target,44,15,0.3409090909090909,0.75,0.29899024261744156
2020,00-0034972,Alexander Mattison,RB,MIN,carry,96,42,0.4375,0.8958333333333334,0.5971246446558023
2020,00-0034983,Hunter Renfrow,WR,LV,target,77,41,0.5324675324675324,0.6883116883116883,0.3520254850109386
2020,00-0035140,Mecole Hardman,WR,KC,target,63,32,0.5079365079365079,0.7936507936507936,0.7589679658381002
2020,00-0035216,Diontae Johnson,WR,PIT,target,144,74,0.5138888888888888,0.7083333333333334,0.6778502286114318
2020,00-0035217,Benny Snell,RB,PIT,carry,111,49,0.44144144144144143,0.8108108108108109,0.7355133128595783
2020,00-0035229,T.J. Hockenson,TE,DET,target,102,42,0.4117647058823529,0.7156862745098039,0.2886085168609498
2020,00-0035243,Miles Sanders,RB,PHI,carry,168,92,0.5476190476190477,0.8630952380952381,0.3463214375649668
2020,00-0035243,Miles Sanders,RB,PHI,target,52,19,0.36538461538461536,0.8269230769230769,0.28535055664794456
2020,00-0035250,Devin Singletary,RB,BUF,carry,156,90,0.5769230769230769,0.9102564102564102,0.7170265929486889
2020,00-0035250,Devin Singletary,RB,BUF,target,50,36,0.72,0.88,0.7148329645767808
2020,00-0035261,Tony Pollard,RB,DAL,carry,101,44,0.43564356435643564,0.8415841584158416,0.43698263670444465
2020,00-0035261,Tony Pollard,RB,DAL,target,40,19,0.475,0.825,0.36791056380625375
2020,00-0035298,Scott Miller,WR,TB,target,53,22,0.41509433962264153,0.71698113207547165,0.6329111315239713
2020,00-0035311,Myles Gaskin,RB,MIA,carry,142,65,0.45774647887323944,0.8661971830985915,0.6647532611927935
2020,00-0035311,Myles Gaskin,RB,MIA,target,47,25,0.5319148936170213,0.8085106382978723,0.4815309419484928
2020,00-0035414,Jalen Guyton,WR,LAC,target,55,28,0.509090909090909,0.5818181818181818,0.4223752096083202
2020,00-0035535,Darius Slayton,WR,NYG,target,96,50,0.5208333333333334,0.75,0.29465393273843193
2020,00-0035537,Ty Johnson,RB,NYJ,carry,54,19,0.35185185185185186,0.8888888888888888,0.27000634841403076
2020,00-0035592,Travis Fulgham,WR,PHI,target,67,29,0.43283582089552236,0.6417910447761194,0.2995968720082492
2020,00-0035624,N'Keal Harry,WR,NE,target,57,22,0.38596491228070173,0.7368421052631579,0.3868143000714521
2020,00-0035631,Drew Sample,TE,CIN,target,53,24,0.4528301886792453,0.7735849056603774,0.22488366761508416
2020,00-0035640,DK Metcalf,WR,SEA,target,129,72,0.5581395348837209,0.6821705426356589,0.6604114787593527
2020,00-0035644,Noah Fant,TE,DEN,target,94,52,0.5531914893617021,0.7446808510638298,0.2345420317307771
2020,00-0035657,Damien Harris,RB,NE,carry,137,79,0.5766423357664233,1,0.4306927524104556
2020,00-0035659,Terry McLaurin,WR,WAS,target,135,52,0.3851851851851852,0.7481481481481481,0.336327547170303
2020,00-0035662,Marquise Brown,WR,BAL,target,100,53,0.53,0.75,0.7469016416557134
2020,00-0035664,Darrell Henderson,RB,LA,carry,138,78,0.5652173913043478,0.9637681159420289,0.6427664763388642
2020,00-0035676,A.J. Brown,WR,TEN,target,106,47,0.44339622641509435,0.6981132075471698,0.5434106548678104
2020,00-0035685,David Montgomery,RB,CHI,carry,248,132,0.532258064516129,0.8911290322580645,0.506200274218021
2020,00-0035685,David Montgomery,RB,CHI,target,68,19,0.27941176470588236,0.7647058823529411,0.3341162062910478
2020,00-0035689,Dawson Knox,TE,BUF,target,44,30,0.6818181818181818,0.8863636363636364,0.7222901792688803
2020,00-0035700,Josh Jacobs,RB,LV,carry,273,167,0.6117216117216118,0.9120879120879121,0.5246473077101699
2020,00-0035700,Josh Jacobs,RB,LV,target,45,27,0.6,0.9777777777777777,0.4251298960738278
2020,00-0035719,Deebo Samuel,WR,SF,target,44,14,0.3181818181818182,0.8636363636363636,0.41453312587327673
2020,00-0035831,James Robinson,RB,JAX,carry,241,141,0.5850622406639004,0.91701244813278,0.2088172486218719
2020,00-0035831,James Robinson,RB,JAX,target,62,31,0.5,0.8064516129032258,0.1711598128183114
2020,00-0035957,Rodney Smith,RB,CAR,carry,41,23,0.5609756097560976,0.8292682926829268,0.40440189292588374
2020,00-0036020,Salvon Ahmed,RB,MIA,carry,75,51,0.68,0.9066666666666666,0.5981659855602871
2020,00-0036158,J.K. Dobbins,RB,BAL,carry,135,70,0.5185185185185185,0.9185185185185185,0.8100993345394456
2020,00-0036196,Gabriel Davis,WR,BUF,target,62,32,0.5161290322580645,0.7903225806451613,0.6761034157631707
2020,00-0036223,Jonathan Taylor,RB,IND,carry,232,125,0.5387931034482759,0.8663793103448276,0.7349724348946594
2020,00-0036251,Zack Moss,RB,BUF,carry,112,52,0.4642857142857143,0.8839285714285714,0.8082911662225213
2020,00-0036252,Michael Pittman,WR,IND,target,61,31,0.5081967213114754,0.6885245901639344,0.5811271919328795
2020,00-0036255,Denzel Mims,WR,NYJ,target,45,22,0.4888888888888889,0.5333333333333333,0.25132228472497725
2020,00-0036261,Brandon Aiyuk,WR,SF,target,96,44,0.4583333333333333,0.7604166666666666,0.4021885704495011
2020,00-0036265,A.J. Dillon,RB,GB,carry,46,15,0.32608695652173914,0.8695652173913043,0.7816089731861766
2020,00-0036268,Laviska Shenault,WR,JAX,target,79,34,0.43037974683544306,0.6582278481012658,0.13480508940854852
2020,00-0036269,La'Mical Perine,RB,NYJ,carry,64,35,0.546875,0.90625,0.23745399361504838
2020,00-0036275,D'Andre Swift,RB,DET,carry,114,50,0.43859649122807015,0.9649122807017544,0.389958975802042
2020,00-0036275,D'Andre Swift,RB,DET,target,57,16,0.2807017543859649,0.8771929824561403,0.32422207009735676
2020,00-0036290,Cole Kmet,TE,CHI,target,45,19,0.4222222222222222,0.8,0.5239046917740876
2020,00-0036309,Darnell Mooney,WR,CHI,target,99,46,0.46464646464646464,0.7676767676767676,0.3358401964254354
2020,00-0036322,Justin Jefferson,WR,MIN,target,128,59,0.4609375,0.7109375,0.4191071140510078
2020,00-0036326,Chase Claypool,WR,PIT,target,112,50,0.44642857142857145,0.6875,0.5935722735427055
2020,00-0036328,Antonio Gibson,RB,WAS,carry,170,85,0.5,0.9529411764705882,0.4457228154485856
2020,00-0036328,Antonio Gibson,RB,WAS,target,44,19,0.4318181818181818,0.9318181818181818,0.27000926566589356
