"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rec_attempt","rec_air_yards","rec_yards_gained","rec_yards_gained_exp","rec_touchdown","rec_touchdown_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","tprr_proxy","yprr_proxy","team_targets","first_read_share","team_rec_exp","vacated_targets"
"2020",2,"00-0034419","Braxton Berrios","WR","NYJ",6,5.55,8,46,59,48.1,1,0.17,17.9,11.38,6.52,0.83,1.44144144144144,8.66666666666667,16,0.5,11.55,6
"2020",2,"00-0036261","Brandon Aiyuk","WR","SF",2,2.24,3,-6,21,15.42,0,0.02,4.1,3.89,0.21,-0.02,1.33928571428571,6.88392857142857,11,0.272727272727273,7.07,4.83
"2020",2,"00-0033307","Kendrick Bourne","WR","SF",4,2.7,5,75,67,45.82,0,0.04,10.7,7.5,3.2,-0.04,1.85185185185185,16.9703703703704,11,0.454545454545455,7.07,4.37
"2020",2,"00-0033292","Trent Taylor","WR","SF",2,2.13,3,19,10,23.04,0,0.08,3,4.89,-1.89,-0.08,1.40845070422535,10.8169014084507,11,0.272727272727273,7.07,4.94
"2020",2,"00-0033859","Josh Malone","WR","NYJ",4,4.52,6,17,16,38.17,0,0.02,6.8,9.33,-2.53,-0.07,1.32743362831858,8.44469026548673,16,0.375,11.55,7.03
,,,,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0022921","Larry Fitzgerald","WR","ARI",7,5.49,7,25,50,48.46,0,0.11,12,11.02,0.98,-0.11,1.27504553734062,8.82695810564663,23,0.304347826086957,15.92,10.43
"2020",2,"00-0030564","DeAndre Hopkins","WR","ARI",8,6.76,9,37,68,62.24,1,0.63,20.8,16.75,4.05,0.37,1.33136094674556,9.20710059171598,23,0.391304347826087,15.92,9.16
,,,,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0034928","Steven Sims","WR","WAS",3,2.91,5,63,53,40.31,0,0.28,8.3,8.63,-0.33,-0.28,1.71821305841924,13.8522336769759,21,0.238095238095238,13.84,10.93
"2020",2,"00-0035527","Andy Isabella","WR","ARI",2,1.72,3,69,67,39.68,0,0.09,8.7,6.22,2.48,-0.09,1.74418604651163,23.0697674418605,23,0.130434782608696,15.92,14.2
"2020",2,"00-0028411","Dontrelle Inman","WR","WAS",2,3.24,5,37,17,37.5,0,0.02,3.7,8.12,-4.42,-0.02,1.54320987654321,11.5740740740741,21,0.238095238095238,13.84,10.6
"2020",2,"00-0035659","Terry McLaurin","WR","WAS",7,6.89,10,110,125,87.65,1,0.07,25.5,16.07,9.43,0.93,1.45137880986938,12.7213352685051,21,0.476190476190476,13.84,6.95
"2020",2,"00-0034775","Christian Kirk","WR","ARI",2,1.95,4,111,57,53.86,0,0.37,8,10.24,-2.24,-0.38,2.05128205128205,27.6205128205128,23,0.173913043478261,15.92,13.97
"2020",2,"00-0036340","Antonio Gandy-Golden","WR","WAS",1,0.8,1,2,3,5.31,0,0,1.3,1.34,-0.04,0,1.25,6.6375,21,0.0476190476190476,13.84,13.04
"2020",3,"00-0034827","D.J. Moore","WR","CAR",2,2.27,4,79,65,47.84,0,0.07,8.5,7.49,1.01,-0.07,1.76211453744493,21.0748898678414,16,0.25,11.34,9.07
"2020",3,"00-0030279","Keenan Allen","WR","LAC",13,12.23,19,153,132,123.95,1,1.01,30.2,31.73,-1.53,-0.01,1.55355682747343,10.1349141455437,27,0.703703703703704,17.16,4.93
"2020",3,"00-0031166","Seth Roberts","WR","CAR",2,2.25,3,21,16,25.7,0,0.03,3.6,4.98,-1.38,-0.03,1.33333333333333,11.4222222222222,16,0.1875,11.34,9.09
"2020",3,"00-0032688","Robby Anderson","WR","CAR",5,3.71,5,22,55,29.88,0,0.18,10.5,7.79,2.71,-0.18,1.34770889487871,8.05390835579515,16,0.3125,11.34,7.63
"2020",3,"00-0033282","Curtis Samuel","WR","CAR",4,3.11,4,15,45,27.32,0,0.08,9.2,8.82,0.379999999999999,-0.19,1.28617363344051,8.78456591639871,16,0.25,11.34,8.23
"2020",3,"00-0033536","Mike Williams","WR","LAC",1,0.66,1,15,17,12.44,0,0,2.7,1.91,0.79,0,1.51515151515152,18.8484848484848,27,0.037037037037037,17.16,16.5
