season,player_id,full_name,position,games,pts,exp_pts,gap,td,td_exp,gap_per_game,exp_per_game,td_gap,fade_flag
2020,00-0027061,Jared Cook,TE,15,127.4,117.34000000000002,10.060000000000002,7,4.959999999999999,0.6706666666666669,7.8226666666666675,2.040000000000001,FALSE
2020,00-0027656,Rob Gronkowski,TE,16,149.3,164.98000000000002,-15.679999999999996,7,8.979999999999999,-0.9799999999999998,10.311250000000001,-1.9799999999999986,FALSE
2020,00-0027685,Emmanuel Sanders,WR,14,164.8,153.53000000000003,11.270000000000003,5,4.99,0.8050000000000003,10.966428571428574,0.009999999999999787,FALSE
2020,00-0027696,Jimmy Graham,TE,16,143.6,144.19,-0.5900000000000043,8,7.440000000000001,-0.03687500000000027,9.011875,0.5599999999999987,FALSE
2020,00-0027793,Antonio Brown,WR,8,117.1,113.41,3.689999999999996,4,3.3100000000000005,0.4612499999999995,14.17625,0.6899999999999995,FALSE
2020,00-0027891,Golden Tate,WR,12,86.52,82.84,3.679999999999999,2,1.9700000000000004,0.3066666666666666,6.903333333333333,0.029999999999999583,FALSE
2020,00-0027939,Cam Newton,QB,15,260.97999999999996,287.2799999999999,-26.29999999999998,21,25.839999999999996,-1.7533333333333319,19.151999999999994,-4.839999999999996,FALSE
2020,00-0027942,A.J. Green,WR,16,111.30000000000001,182.93,-71.63000000000001,2,6.079999999999998,-4.476875000000001,11.433125,-4.079999999999998,FALSE
2020,00-0027944,Julio Jones,WR,9,146.10000000000002,128.88,17.220000000000006,3,4.029999999999999,1.913333333333334,14.32,-1.0299999999999994,FALSE
2020,00-0027966,Mark Ingram,RB,10,52.9,62.01,-9.109999999999996,2,2.9600000000000004,-0.9109999999999996,6.201,-0.9600000000000004,FALSE
2020,00-0027973,Andy Dalton,QB,11,136.89999999999998,174.30000000000004,-37.400000000000006,14,19.07,-3.4000000000000004,15.84545454545455,-5.07,FALSE
2020,00-0027981,Kyle Rudolph,TE,12,65.39999999999999,68.11,-2.709999999999999,1,1.8900000000000001,-0.22583333333333325,5.675833333333333,-0.8900000000000001,FALSE
2020,00-0028002,Randall Cobb,WR,10,100.1,89.04,11.059999999999995,3,3.369999999999999,1.1059999999999994,8.904,-0.3699999999999992,FALSE
2020,00-0028042,Luke Stocker,TE,9,13.3,20.38,-7.079999999999999,0,0.7000000000000001,-0.7866666666666666,2.2644444444444445,-0.7000000000000001,FALSE
2020,00-0028087,Dion Lewis,RB,16,59.20000000000001,67.94999999999999,-8.750000000000004,3,2.66,-0.5468750000000002,4.246874999999999,0.33999999999999986,FALSE
2020,00-0029000,Cole Beasley,WR,15,207.5,190.22,17.279999999999994,5,5.279999999999999,1.1519999999999997,12.681333333333333,-0.27999999999999936,FALSE
2020,00-0029141,Alfred Morris,RB,9,40.7,34.24,6.460000000000001,2,0.9500000000000002,0.7177777777777778,3.8044444444444445,1.0499999999999998,FALSE
2020,00-0029263,Russell Wilson,QB,16,363.7799999999999,365.85,-2.0699999999999843,42,42.190000000000005,-0.12937499999999902,22.865625,-0.19000000000000483,FALSE
2020,00-0029293,Marvin Jones,WR,16,227.8,213.47999999999996,14.32,9,6.459999999999999,0.895,13.342499999999998,2.540000000000001,FALSE
2020,00-0029567,Nick Foles,QB,9,104.17999999999999,124.19000000000001,-20.009999999999998,11,13.43,-2.223333333333333,13.79888888888889,-2.4299999999999997,FALSE
2020,00-0029604,Kirk Cousins,QB,16,312.20000000000005,300.1,12.099999999999982,36,34.41,0.7562499999999989,18.75625,1.5900000000000034,FALSE
