season,week,posteam,plays,proe
2023,6,HOU,57,-3.5937710027945435
2023,6,IND,72,6.524058162338209
2023,6,JAX,55,5.988833335312915
2023,6,KC,65,10.109286801173155
2023,6,LA,50,-9.32929101586344
2023,6,LAC,60,4.958259438474988
2023,6,LV,62,-11.670849135806439
2023,6,MIA,62,1.357265009034092
2023,6,MIN,52,1.0275186075327514
2023,6,NE,51,1.589125687000803
2023,6,NO,76,-2.3409249751191075
2023,6,NYG,68,-9.848466953810552
2023,6,NYJ,53,4.004827282338752
2023,6,PHI,67,12.153699059984557
2023,6,SEA,66,-0.3710969153678634
2023,6,SF,50,-12.419525802135434
2023,6,TB,53,0.9321398330184638
2023,6,TEN,40,-4.151224717497815
2023,6,WAS,43,4.381494050802193
2023,7,ARI,59,-11.829722508535523
2023,7,ATL,63,-14.258813361326862
2023,7,BAL,54,12.428240181395328
2023,7,BUF,65,5.22942271370156
2023,7,CHI,65,-4.303171388231797
2023,7,CLE,69,-16.85760366743889
2023,7,DEN,54,-2.5992194121634338
2023,7,DET,68,4.205889649250915
2023,7,GB,61,-8.376270092901649
2023,7,IND,63,-19.97440909109421
2023,7,JAX,53,6.0013109782956935
2023,7,KC,61,13.698742929540709
2023,7,LA,61,-15.223905395288973
2023,7,LAC,55,-10.99941226569091
2023,7,LV,60,4.724519203106558
2023,7,MIA,44,1.7366017807613598
2023,7,MIN,64,10.80310104880482
2023,7,NE,55,-0.22510536692360583
2023,7,NO,87,0.09047601414827744
2023,7,NYG,58,-3.0051975414670418
2023,7,PHI,62,0.6627414255373276
2023,7,PIT,50,-5.712535738944968
2023,7,SEA,54,-6.129267466840882
2023,7,SF,50,1.3370664715767089
2023,7,TB,61,4.050741821038906
2023,7,WAS,61,2.741298714622109
2023,8,ARI,70,-5.91303948845181
2023,8,ATL,59,-3.7049967353626534
2023,8,BAL,55,-3.6103939197280277
2023,8,BUF,65,14.15158529694266
2023,8,CAR,55,3.549968031319739
2023,8,CHI,61,-7.411601577625937
2023,8,CIN,58,9.602930030689127
2023,8,CLE,71,-8.165975418728856
2023,8,DAL,57,14.640336013153988
2023,8,DEN,59,-8.845091200733595
2023,8,DET,78,-10.566727243936985
2023,8,GB,58,3.5673240649289117
2023,8,HOU,55,-11.442880115725762
2023,8,IND,65,-2.642732858657826
2023,8,JAX,63,-2.5250815978598906
2023,8,KC,54,8.038200548401564
2023,8,LA,58,-11.742959967974997
2023,8,LAC,65,2.4991761377224697
2023,8,LV,39,-3.690750018144262
2023,8,MIA,68,11.238354181542087
2023,8,MIN,64,5.287894740467891
2023,8,NE,47,-4.154468470431405
2023,8,NO,64,-2.055761672090739
2023,8,NYG,66,-29.74352561163177
2023,8,NYJ,57,1.9594074864136668
2023,8,PHI,58,2.035250771662278
2023,8,PIT,60,3.0133390426635653
2023,8,SEA,53,2.104042864070743
2023,8,SF,54,4.764946522536107
2023,8,TB,59,1.7237368276563636
2023,8,TEN,62,-6.454340632884758
2023,8,WAS,68,17.593306960428446
2023,9,ARI,41,-3.8032709098443584
2023,9,ATL,65,-6.963972220054004
2023,9,BAL,71,-0.7584402783655575
2023,9,BUF,55,15.276243632489983
2023,9,CAR,67,-5.194984354189936
2023,9,CHI,62,-8.276053998739485
2023,9,CIN,63,18.338834648094505
2023,9,CLE,69,-16.235509962923285
2023,9,DAL,65,6.504967602399647
2023,9,GB,61,-9.202081114664434
2023,9,HOU,61,0.635406448215714
2023,9,IND,53,-4.797592773190063
2023,9,KC,51,8.93149475256606
2023,9,LA,54,-10.355374768928261
2023,9,LAC,50,-2.564779102802295
2023,9,LV,59,-11.300780371589154
2023,9,MIA,55,-9.019698446447222
2023,9,MIN,69,-3.3122365457423975
2023,9,NE,62,6.2164011501496645
2023,9,NO,61,-0.4906347906980191
2023,9,NYG,55,-6.867745003917025
2023,9,NYJ,69,0.5912125110626443
2023,9,PHI,56,-4.826414605070417
2023,9,PIT,59,-7.971028402700286
2023,9,SEA,42,-2.858336766560887
2023,9,TB,61,-9.454721994087356
2023,9,TEN,63,-6.4838490552372114
2023,9,WAS,73,7.5291806704377855
2023,10,ARI,58,-0.7493088728395381
2023,10,ATL,62,-23.108669370412795
2023,10,BAL,47,-0.49560900698316646
2023,10,BUF,53,-8.312685900139382
2023,10,CAR,54,8.226573825986282
2023,10,CHI,69,-7.377384127914032
2023,10,CIN,55,9.05603257092562
2023,10,CLE,71,-8.539273831206318
2023,10,DAL,76,9.574538312460279
2023,10,DEN,65,-15.982786600406351
2023,10,DET,61,-2.245759280001547
2023,10,GB,63,-4.361453534118698
2023,10,HOU,73,-1.5421846855993238
2023,10,IND,53,-6.888488750412813
2023,10,JAX,49,6.915676897885826
2023,10,LAC,68,-0.5984090706881551
2023,10,LV,59,-17.962905196315127
2023,10,MIN,67,2.392182871699333
2023,10,NE,63,-17.159328526920763
2023,10,NO,60,0.8965135862430085
2023,10,NYG,49,-3.831734462660208
2023,10,NYJ,61,1.1093108868989843
2023,10,PIT,59,-11.079393377748575
2023,10,SEA,72,0.4953773485289359
2023,10,SF,55,-2.7339622784744666
2023,10,TB,57,-2.7938426390551663
2023,10,TEN,55,-1.3911434195258199
2023,10,WAS,58,11.022006155088015
2023,11,ARI,56,-8.115247690251914
2023,11,BAL,57,-2.8192654382764415
2023,11,BUF,68,-8.248299393145487
2023,11,CAR,51,-3.9930703885414753
2023,11,CHI,68,-14.217437540783578
2023,11,CIN,54,-1.0571641778504337
2023,11,CLE,70,-8.399286312716336
2023,11,DAL,65,3.908171619360279
2023,11,DEN,50,-1.7425176501274064
2023,11,DET,57,-11.287610206687681
2023,11,GB,67,1.141105692333233
2023,11,HOU,62,-1.5917408370202724
2023,11,JAX,68,-4.94264798677142
2023,11,KC,72,-1.195443545778574
2023,11,LA,57,-9.053344632449923
2023,11,LAC,59,4.145401034314755
2023,11,LV,57,1.9906328174106092
2023,11,MIA,66,5.682959339835458
2023,11,MIN,68,-4.116963419844122
2023,11,NYG,45,2.48252391815188
2023,11,NYJ,49,-3.472827891914232
2023,11,PHI,46,-5.719988776937779
2023,11,PIT,53,-8.107116143658466
2023,11,SEA,59,4.274345505035493
2023,11,SF,53,-2.4585265174226545
2023,11,TB,62,7.419635018994719
2023,11,TEN,34,-13.564161123598318
2023,11,WAS,73,-2.691378250513954
2023,12,ARI,62,0.6035905691884946
2023,12,ATL,61,-16.276139252987104
2023,12,BAL,65,-2.647290355884113
2023,12,BUF,90,-1.8746755686071315
2023,12,CAR,63,-12.476690421028724
2023,12,CHI,62,-0.6859995184406387
2023,12,CIN,36,12.896896815962267
2023,12,CLE,66,-2.093828085697036
2023,12,DAL,51,6.375790898706413
2023,12,DEN,57,-10.867329490812171
2023,12,DET,76,-8.817815957100784
2023,12,GB,54,12.656676555397329
2023,12,HOU,54,8.490420657175557
2023,12,IND,67,6.32515309461904
2023,12,JAX,68,0.03169157049232041
2023,12,KC,55,11.986777653748371
2023,12,LA,66,-2.6357290871215966
2023,12,LAC,63,6.767456115238213
2023,12,LV,57,-7.306135223622878
2023,12,MIA,65,-11.040864506593124
2023,12,MIN,49,-1.2810916620858204
2023,12,NE,66,-9.96018557837518
2023,12,NO,65,-10.401322474846442
2023,12,NYG,43,-0.3087319606958516
2023,12,NYJ,48,4.4607648625969665
2023,12,PHI,62,-10.270699834631314
2023,12,PIT,63,-6.038666859505659
2023,12,SEA,48,-3.0434900894761086
2023,12,SF,62,-2.478526280291571
2023,12,TB,50,-3.6657271683216197
2023,12,TEN,48,-1.5804153711845403
2023,12,WAS,71,0.4703117718159566
2023,13,ARI,58,-13.521883071496593
2023,13,ATL,60,-19.412364587187735
2023,13,CAR,66,-17.782380635088106
2023,13,CIN,70,-2.1198040885584635
2023,13,CLE,67,2.0590164545757017
2023,13,DAL,74,0.6597712837361214
2023,13,DEN,55,-9.930273673751156
2023,13,DET,54,-12.681841739901756
2023,13,GB,61,8.663431445106163
2023,13,HOU,58,-6.159765735782441
2023,13,IND,65,7.460946990893458
2023,13,JAX,64,3.336218954063952
2023,13,KC,58,-4.190616206876186
2023,13,LA,61,-1.481439289255182
2023,13,LAC,59,6.2382199122744115
2023,13,MIA,59,-11.339393561169226
2023,13,NE,57,-12.04816461132282
2023,13,NO,64,-17.452669190242887
2023,13,NYJ,63,-9.393436851955562
2023,13,PHI,67,9.127110198362532
2023,13,PIT,57,-14.064164956410751
2023,13,SEA,62,-0.716691752595322
2023,13,SF,54,-0.7731088471633507
2023,13,TB,55,-6.865852393887273
2023,13,TEN,74,-13.832648400519348
2023,13,WAS,52,-13.020714057179628
2023,14,ATL,66,-4.869956003897135
2023,14,BAL,69,5.563453185385569
2023,14,BUF,67,5.852699235304093
2023,14,CAR,75,-14.745071212450632
2023,14,CHI,62,3.95215062064026
2023,14,CIN,57,-5.915553397253925
2023,14,CLE,70,5.94127159033504
2023,14,DAL,71,-0.16174319029689244
2023,14,DEN,61,-0.14328322693950568
2023,14,DET,59,-14.12411319502327
2023,14,GB,65,-5.196828521214957
2023,14,HOU,47,-11.215020621076565
2023,14,IND,57,3.8248200949869915
2023,14,JAX,70,4.973774275609455
2023,14,KC,61,6.659758701676233
2023,14,LA,71,-3.354462960236515
2023,14,LAC,61,-0.1445768065140074
2023,14,LV,49,0.8224768145960071
2023,14,MIA,64,-4.410554352216423
2023,14,MIN,66,-3.500093965593598
2023,14,NE,53,2.3695205883035197
2023,14,NO,49,-2.382771579586729
2023,14,NYG,54,-5.222485407635025
2023,14,NYJ,61,6.237849696982134
2023,14,PHI,51,-11.110304675850202
2023,14,PIT,64,-3.508469951339066
2023,14,SEA,52,1.5710453001352542
2023,14,SF,49,0.1416241636081894
2023,14,TB,66,-18.293347051649395
2023,14,TEN,67,-7.221087768896317
2023,15,ARI,70,-7.9458211788109185
2023,15,ATL,50,-19.741783380508416
2023,15,BAL,66,-4.872235190123309
2023,15,BUF,61,-17.388346492022766
2023,15,CAR,57,-20.203571622831774
2023,15,CHI,67,-4.395382884723054
2023,15,CIN,62,2.4596371477649925
2023,15,CLE,63,5.096294908296517
2023,15,DAL,54,-0.32546669244769566
2023,15,DEN,59,-7.4911806795556535
2023,15,DET,62,3.2681271974597803
2023,15,GB,55,3.2417526570233557
2023,15,HOU,68,-15.554249944055776
2023,15,IND,61,-5.53607398979975
2023,15,JAX,60,4.726921568314236
2023,15,KC,55,12.715934596278423
2023,15,LA,71,-5.798861355533913
2023,15,LAC,60,-16.14576632777852
2023,15,LV,62,7.660433325556026
2023,15,MIA,52,-9.805023269011437
2023,15,MIN,64,2.8215430909767747
2023,15,NE,47,-2.8359879204567173
2023,15,NO,54,-1.2460222122845477
2023,15,NYG,53,-3.6914247386860444
2023,15,NYJ,49,3.1618653511514494
2023,15,PHI,69,-8.343036515989155
2023,15,PIT,50,-13.953323304653143
2023,15,SEA,56,-8.474001900425964
2023,15,SF,51,0.48142296134257023
2023,15,TB,53,-4.9426354784167454
2023,15,TEN,56,-11.893662916762482
2023,15,WAS,57,-0.7938358867377815
2023,16,ARI,58,-8.490207585795206
2023,16,ATL,62,-1.8595244855649673
2023,16,BAL,60,6.327361604198778
2023,16,BUF,51,-16.961775077324308
2023,16,CAR,61,-5.588302284967672
2023,16,CHI,66,-4.045993575092477
2023,16,CIN,59,6.193010887857198
2023,16,CLE,76,2.567500689704205
2023,16,DAL,56,1.753911828356114
2023,16,DEN,61,-3.6000529762174716
2023,16,DET,74,-0.46298191756815044
2023,16,GB,62,-9.516951369662447
2023,16,HOU,65,-2.3619460601073228
2023,16,IND,61,-1.5243195363732975
2023,16,JAX,59,11.50147172354037
2023,16,KC,70,4.624711615698651
2023,16,LA,65,-1.7629369864097022
2023,16,LAC,60,-3.266151919960958
2023,16,LV,48,-7.950259364830958
2023,16,MIA,61,0.5873360106202763
2023,16,MIN,46,4.931884291379351
2023,16,NE,53,-2.5678974558722145
2023,16,NO,56,1.82083307632378
2023,16,NYG,57,-9.490720640149043
2023,16,NYJ,85,1.2183251363389602
2023,16,PHI,73,-2.469448990201306
2023,16,PIT,57,1.5994674411782317
2023,16,SEA,56,-3.333294657724273
2023,16,SF,64,-0.03127227537333965
2023,16,TB,68,-2.1298695300870585
2023,16,TEN,57,-10.604468824570624
2023,16,WAS,57,-0.8439401262685053
2023,17,ARI,71,-11.917635210802857
2023,17,ATL,57,-4.217016174082189
2023,17,BAL,52,-2.6679797384601023
2023,17,BUF,65,-3.27074916316914
2023,17,CAR,47,-3.451327123540515
2023,17,CHI,69,-4.134174903341803
2023,17,CIN,65,-3.002791244250047
2023,17,CLE,57,-1.993279734201614
2023,17,DAL,58,7.099406626717819
2023,17,DEN,63,-0.40080672691737984
2023,17,DET,64,-13.549738610163331
2023,17,GB,71,2.72999071109461
2023,17,HOU,60,4.904398005455701
2023,17,IND,51,-5.077204195892121
2023,17,JAX,55,-9.4864259795709
2023,17,KC,49,2.062562868303197
2023,17,LA,56,5.397950778050076
2023,17,LAC,61,-10.186105233723964
2023,17,LV,72,-2.2526179336839647
2023,17,MIA,64,-6.880122283473611
2023,17,MIN,47,-0.6807460746866778
2023,17,NE,49,-0.6781194283037584
2023,17,NO,66,-4.570183276452822
2023,17,NYG,61,2.4098899520811567
2023,17,NYJ,66,-0.3432296668038237
2023,17,PHI,47,-13.077605594979925
2023,17,PIT,69,-15.978432225360418
2023,17,SEA,48,4.011915934582544
2023,17,SF,65,-4.02858522648995
2023,17,TB,48,-3.1823767970005634
2023,17,TEN,47,-14.942190431533952
2023,17,WAS,42,4.166691821245916
2023,18,ARI,68,-14.642396656905865
2023,18,ATL,59,-8.053257430003846
2023,18,BAL,52,-8.02751596157366
2023,18,BUF,72,0.8879986798597472
2023,18,CAR,47,-23.25795026535682
2023,18,CHI,41,-15.909181753309747
2023,18,CIN,58,-0.8955331647704456
2023,18,CLE,49,-16.234117685532112
2023,18,DAL,69,6.924252751944692
2023,18,DEN,53,-0.984936193475161
2023,18,DET,55,9.915546307509581
2023,18,GB,57,5.108707012575941
2023,18,HOU,54,-1.5456346312054503
2023,18,IND,62,-23.867544027105474
2023,18,JAX,66,-0.5490590225566416
2023,18,KC,57,-5.860042833445345
2023,18,LA,60,-11.229362388451902
2023,18,LAC,77,5.37234091913551
2023,18,LV,60,-2.936912663280944
2023,18,MIA,47,-7.195178815659087
2023,18,MIN,66,-4.051724031116011
2023,18,NE,51,-7.865943073057624
2023,18,NO,63,-8.986597425407867
2023,18,NYG,64,13.683362008305266
2023,18,NYJ,63,-24.266015643638312
2023,18,PHI,60,-5.4306707282860796
2023,18,PIT,58,-22.30915777899068
2023,18,SEA,54,-9.137133619299654
2023,18,SF,54,-11.525901020676999
2023,18,TB,58,-0.43612632515100946
2023,18,TEN,50,-1.306533262133569
2023,18,WAS,44,8.622946353121241
2024,1,ARI,56,-4.6112666172640875
2024,1,ATL,47,-12.62200062579294
2024,1,BAL,73,-4.928049404327162
2024,1,BUF,55,-8.403009230440317
2024,1,CAR,51,-9.995253296459428
2024,1,CHI,50,1.7493112683296008
2024,1,CIN,45,8.400805691877999
2024,1,CLE,64,0.028055161237716675
2024,1,DAL,56,-1.5203515599880757
2024,1,DEN,67,-1.6831110662488769
2024,1,DET,59,-8.766747038748285
2024,1,GB,57,-2.7361987975605406
2024,1,HOU,71,-7.063986759790264
2024,1,IND,42,-13.407813048078898
2024,1,JAX,47,-10.391960974703467
2024,1,KC,47,6.619226488661245
2024,1,LA,72,3.782094580431794
2024,1,LAC,51,-8.648241004523094
2024,1,LV,55,-0.451510846614811
2024,1,MIA,62,-6.814016834382109
2024,1,MIN,49,0.2901319338350916
2024,1,NE,60,-7.206500638276358
2024,1,NO,61,-9.78169281218874
2024,1,NYG,63,-6.852516863081171
2024,1,NYJ,49,-5.963825997041194
2024,1,PHI,71,-2.7881893998300544
2024,1,PIT,64,-10.981281870044768
2024,1,SEA,56,-6.748313203986228
2024,1,SF,66,-12.910581131776183
2024,1,TB,58,0.6030324589589964
2024,1,TEN,58,-4.548158419543336
2024,1,WAS,54,-2.9947815118012255
2024,2,ARI,61,-5.598232394359165
2024,2,ATL,56,-9.721276776066867
2024,2,BAL,59,-12.034799739465885
2024,2,BUF,42,-2.2118762002459604
2024,2,CAR,44,-13.460030406713475
2024,2,CHI,59,-1.8886511356143831
2024,2,CIN,58,10.16214430203728
2024,2,CLE,63,4.205152383517663
2024,2,DAL,62,-5.654492012916079
2024,2,DEN,54,-5.296873384051848
2024,2,DET,82,-2.092870306677952
2024,2,GB,67,-31.093457975049493
2024,2,HOU,57,0.7837596169689154
2024,2,IND,51,-6.030246673845774
2024,2,JAX,50,-5.22641551494597
2024,2,KC,58,-8.237869832022449
2024,2,LA,47,-15.031575744456438
2024,2,LAC,61,-14.644131015558697
2024,2,LV,54,8.778870243717096
2024,2,MIA,73,-16.44407988411105
2024,2,MIN,47,3.033244039149985
2024,2,NE,63,-12.479976221682548
2024,2,NO,52,-14.68447769204011
2024,2,NYG,52,-9.972464006680715
2024,2,NYJ,53,1.3395489386792359
2024,2,PHI,67,-8.135186992029631
2024,2,PIT,56,-17.665906064212322
2024,2,SEA,61,10.973422107149355
2024,2,SF,61,-7.746401282607507
2024,2,TB,41,0.6304182021355964
2024,2,TEN,56,-12.343304444636638
2024,2,WAS,62,-8.222958998333985
2024,3,ARI,52,-1.3301579998089563
2024,3,ATL,53,-11.760312178224897
2024,3,BAL,58,-22.709332046837634
2024,3,BUF,59,1.1832021050534158
2024,3,CAR,67,4.418108545577359
2024,3,CHI,80,-4.46186309680342
2024,3,CIN,59,-1.133856404635869
2024,3,CLE,55,3.375219973650845
2024,3,DAL,69,3.2918544783108517
2024,3,DEN,63,10.351417033327026
2024,3,DET,64,-15.529153146781027
2024,3,GB,56,-12.858823916342626
2024,3,HOU,57,4.546590750677549
2024,3,IND,50,-18.31822089850903
2024,3,JAX,63,2.8055482085734718
2024,3,KC,69,6.6226280253865895
2024,3,LA,52,-14.938347213543379
2024,3,LAC,40,-17.123703956604007
2024,3,LV,57,-1.222327194715811
2024,3,MIA,50,0.6904988586902583
2024,3,MIN,55,-0.06321755322545863
2024,3,NE,41,-8.428304515233853
2024,3,NO,54,-13.142147881013377
2024,3,NYG,64,2.332383970497176
2024,3,NYJ,68,-0.7242451914969417
2024,3,PHI,61,-0.07509200787936265
2024,3,PIT,61,-8.358474729246801
2024,3,SEA,55,11.038682393052401
2024,3,SF,64,0.1670696772634983
2024,3,TB,49,-2.4822131407504
2024,3,TEN,45,10.354615615473872
2024,3,WAS,53,4.3833213032416385
2024,4,ARI,54,-25.46663847234512
2024,4,ATL,50,6.764173239469528
2024,4,BAL,53,-13.794649771924284
2024,4,BUF,54,-0.9380003092465672
2024,4,CAR,69,-1.7540496328602662
2024,4,CHI,49,-10.371729883612407
2024,4,CIN,62,-5.502860668686093
2024,4,CLE,54,4.840738878205975
2024,4,DAL,49,0.805023631879298
2024,4,DEN,54,-15.492029543276164
2024,4,DET,45,-5.696344512204349
2024,4,GB,74,0.06512552499772228
2024,4,HOU,66,-4.989383121331514
2024,4,IND,61,-8.191332221031223
2024,4,JAX,56,3.412996392164891
2024,4,KC,52,-4.32126573645154
2024,4,LA,55,-6.972919702529879
2024,4,LAC,51,-7.4330059044501295
2024,4,LV,51,-12.021282490561996
2024,4,MIA,53,-23.384232903426522
2024,4,MIN,59,8.911553498799524
2024,4,NE,56,-10.96100695431229
2024,4,NO,69,-8.88768864282662
2024,4,NYG,63,-5.240511870573405
2024,4,NYJ,65,5.359698235988642
2024,4,PHI,49,-2.7042941475401094
2024,4,PIT,63,-12.12006225472403
