season,receiver_player_id,receiver_full_name,receiver_position,posteam,targets,adot,deep_share,rz_targets,ez_targets,catchable
2020,00-0034766,Christopher Herndon,TE,NYJ,46,6.739130434782608,0.08695652173913043,5,4,0.6546406013810117
2020,00-0034775,Christian Kirk,WR,ARI,79,11.835443037974683,0.24050632911392406,14,10,0.631464205210722
2020,00-0034777,D.J. Chark,WR,JAX,94,13.851063829787233,0.26595744680851063,13,4,0.5717530382123399
2020,00-0034791,Nick Chubb,RB,CLE,27,1.4814814814814818,0.037037037037037035,3,1,0.7708421139805405
2020,00-0034798,Durham Smythe,TE,MIA,29,3.9310344827586206,0,6,4,0.766705611656452
2020,00-0034799,Kalen Ballage,RB,LAC,27,-0.8148148148148147,0,4,0,0.7995549241701762
2020,00-0034816,Ronald Jones,RB,TB,44,0.840909090909091,0,4,2,0.7840281636877493
2020,00-0034827,D.J. Moore,WR,CAR,118,13.228813559322035,0.211864406779661,9,6,0.6181708051491592
2020,00-0034829,Mike Gesicki,TE,MIA,85,11.058823529411764,0.16470588235294117,16,9,0.6103385939317592
2020,00-0034830,Hayden Hurst,TE,ATL,89,6.696629213483145,0.056179775280898875,16,10,0.7219365858629848
2020,00-0034837,Calvin Ridley,WR,ATL,145,14.179310344827588,0.27586206896551724,24,13,0.5888710270667898
2020,00-0034928,Steven Sims,WR,WAS,41,7.2926829268292686,0.12195121951219512,4,1,0.6452398678151573
2020,00-0034960,Jakobi Meyers,WR,NE,82,10.097560975609758,0.10975609756097561,6,3,0.6592171457482547
2020,00-0034970,Irv Smith,TE,MIN,44,7.909090909090908,0.13636363636363635,13,8,0.6803701147437096
2020,00-0034983,Hunter Renfrow,WR,LV,77,7.103896103896103,0.1038961038961039,8,3,0.712359701271181
2020,00-0034988,Kaden Smith,TE,NYG,21,1.952380952380952,0,4,1,0.7766925011362348
2020,00-0035006,Olabisi Johnson,WR,MIN,20,10.85,0.15,1,1,0.6507651135325432
2020,00-0035140,Mecole Hardman,WR,KC,76,9.276315789473685,0.18421052631578946,7,4,0.6982280086529882
2020,00-0035208,Olamide Zaccheaus,WR,ATL,32,13.75,0.25,2,1,0.6360577717423439
2020,00-0035215,Deonte Harris,WR,NO,33,3.666666666666667,0,3,1,0.7420802089301023
2020,00-0035216,Diontae Johnson,WR,PIT,160,8.268749999999999,0.11875,13,6,0.6588841490447521
2020,00-0035229,T.J. Hockenson,TE,DET,102,6.980392156862745,0.049019607843137254,18,10,0.6929555494411319
