season,player_id,full_name,position,opps_rec,opps_rush,ep_total_rec,ep_total_rush,ep_per_opp_rec,ep_per_opp_rush
2023,00-0036849,Tutu Atwell,WR,68,NA,120.3695671524473,NA,1.7701406934183426,NA
2023,00-0036875,Rhamondre Stevenson,RB,51,156,83.74246013051015,353.1333172211889,1.642009022166866,2.263675110392237
2023,00-0036876,Kylen Granson,TE,50,NA,79.4838128874544,NA,1.589676257749088,NA
2023,00-0036893,Najee Harris,RB,NA,256,NA,575.0726164916558,NA,2.24637740817053
2023,00-0036894,Pat Freiermuth,TE,48,NA,66.66402173887752,NA,1.3888337862266151,NA
2023,00-0036900,Ja'Marr Chase,WR,145,NA,290.5807873336598,NA,2.004005429887309,NA
2023,00-0036906,Khalil Herbert,RB,NA,133,NA,303.108954485171,NA,2.2790146953772257
2023,00-0036912,DeVonta Smith,WR,113,NA,218.54635684403172,NA,1.9340385561418738,NA
2023,00-0036919,Kenneth Gainwell,RB,NA,85,NA,247.2896207775774,NA,2.9092896562067927
2023,00-0036936,Rondale Moore,WR,63,NA,96.4375310033937,NA,1.5307544603713286,NA
2023,00-0036945,Justin Fields,QB,NA,124,NA,275.9032223445829,NA,2.225025986649862
2023,00-0036963,Amon-Ra St. Brown,WR,165,NA,334.9243094880511,NA,2.029844299927583,NA
2023,00-0036970,Kyle Pitts,TE,90,NA,137.92634681725758,NA,1.532514964636195,NA
2023,00-0036971,Trevor Lawrence,QB,NA,70,NA,155.9415304370923,NA,2.2277361491013186
2023,00-0036973,Travis Etienne,RB,73,269,131.62532645987812,658.6345973887362,1.8030866638339471,2.448455752374484
2023,00-0036980,Elijah Moore,WR,104,NA,185.702103907126,NA,1.7855971529531347,NA
2023,00-0036988,Josh Palmer,WR,61,NA,131.86916996288346,NA,2.16178967152268,NA
2023,00-0036997,Javonte Williams,RB,59,219,111.74960681701475,530.781962859153,1.8940611324917753,2.4236619308637124
2023,00-0037077,Sam Howell,QB,NA,49,NA,90.68356625213335,NA,1.8506850255537417
